"item_id","item","label"
"376843697943769088","#Longmont #CO The Tiny Tim Center is now #hiring. Book Keeper http://t.co/l4m5iSOmTw #tweetmyjobs","not informative"
"378011169883037697","RT @dlfluegge: Crazy Flooding in Boulder, Colorado http://t.co/sg0iIdqCeY via @youtube","Informative"
"378020179214491649","Here's the #boulderflood video that's circulating around. Right in my old neighborhood west of CU! #StaySafe  http://t.co/eMPbOeBk7M”","Informative"
"378026101588496385","RT @passantino: Video: Severe flooding hits near Univ. of Colorado at Boulder http://t.co/7jkJogCjDH","Informative"
"378029784204206080","Crazy Flooding in Boulder, Colorado http://t.co/3IgoyaAfWE","Informative"
"378038458024865792","Thoughts and prayers out to those in Boulder who may not get to Amante for morning coffee. #boulderflood","Informative"
"378042534863192064","what... “@AmyZPhD: @JuggleGod They are saying South Boulder Creek near Eldo Sprgs is past #100yearflood levels #boulderflood”","Informative"
"378043411468537856","GO TO http://t.co/ypwkPv2eDM  AND★RT★FOR★NEW★FOLLOWERS★✔#BestRapper,#PutinsFavoriteFlicks,#Remember911,#boulderflood, http://t.co/o5XvzjcpxD","not informative"
"378043948352024576","RT @markloiseau: Boulder's floodplain map http://t.co/Y4wcyyo7k7 #boulderflood","Informative"
"378044472661000192","Who's tryin to tube on boulder creek right now? #boulderflood","Informative"
"378045630251147265","RT @dailycamera: VIDEO: Flooding at 28th St underpass in #Boulder tonight http://t.co/JhQBnOZWiF #boulderflood","Informative"
"378046271996440576","RT @BoulderCh1News: scanner #boulderflood reports Lee Road rock slide road is closed","Informative"
"378047710659502080","RT @elaine: With the #Boulderflood, remember to check and trust your sources before you Retweet. Don't go around spreading false informatio…","Informative"
"378048146850328576","Pray for Boulder, Colorado #boulderflood","Informative"
"378049119924674561","RT @ShoutSteph: And I thought living on boulder creek would be a good thing... #flashflood #boulderflood #bouldercreek http://t.co/fe1LuXPp…","Informative"
"378050260792119297","Evacuation order for the town of #Jamestown, #CO. Torrential #flooding rain in the Front Range Urban Corridor, N of I-70 #COwx #Boulderflood","Informative"
"378050491474657280","RT @ShanaCordon: Evacuation bags are ready by the front door. Now hoping for some rest. Be safe &amp; well #Boulder friends. #boulderflood #cowx","Informative"
"378051825254952960","I GET 5078 REALL FOLLOWERS! http://t.co/qrF5dpD3ak  ✈#BestRapper,#boulderflood,#PutinsFavoriteFlicks,#Remember911,#in http://t.co/Qi1ROyZilU","not informative"
"378053515563659264","GO=&gt;http://t.co/b1BmzMHtsK #BestRapper,#boulderflood,#PutinsFavoriteFlicks,#Remember911,#ini http://t.co/yrSTbef6x8","not informative"
"378053637177475072","Anyone wanna go skinny dipping? #boulderflood","not informative"
"378054652215824384","#Breaking: Jamestown, Colorado, is under mandatory evacuation order due to flash flooding - @dailycamera http://t.co/bN3gBLKHQg","Informative"
"378054979380334592","The weather is crazy over here..we have rivers now, &amp; some students are evacuating the dorms while others went mud sliding xD #boulderflood","Informative"
"378055482704814082","Damnit @twitter take care of the spammers using #BoulderFlood","Informative"
"378056556413079552","RT @NWSBoulder Significant flooding at the Justice Center in #boulderflood #COwx","Informative"
"378056971686932480","RT @TimesCall: #Westminster and #Thornton swift-water dive teams en route to #Boulder in case they are needed. #boulderflood #cowx","Informative"
"378057261081714688","#russelladler #news Jamestown, Colorado, is under mandatory evacuation order due to flash flooding - @dailycamera http://t.co/yyqbHZajQz","Informative"
"378058611638796288","RT @TxStormChasers: RT @odog: Sleeping above ground tonight. Stay safe #boulderflood #boulder http://t.co/MgacEwLoKC #cowx","Informative"
"378059840569880576","HOLY SHIT. Boulder creek water volume for the last year. Be careful. #boulder #boulderflood http://t.co/TfBOR1iUfF http://t.co/2qEYyqHbwk","Informative"
"378061807681695744","#Boulder #Colorado has like 340 days of sunshine a year. Now the #BoulderFlood ? That just proves if we are gonna do it, we do it big!","Informative"
"378066689885077504","Links for information on #Boulderflood from @BoulderOEM @CUBoulder @NWSBoulder @bouldercolorado #cowx  http://t.co/6QwHS0KLQ5","Informative"
"378067142844747776","#socy2044  will there be looting? Or an increase in crime this weekend?#boulderflood","Informative"
"378069365855621120","RT @TxStormChasers: Scanner: Highway 66 going into Lyons is underwater from the west at the Diamond Shamrock. #cowx  #boulderflood","Informative"
"378069734916251648","rain again picking up in dwtn bldr #boulderflood","Informative"
"378071202931032064","For updates on additional evacuation points throughout Boulder County for #boulderflood visit http://t.co/zbOLD3UJEQ","Informative"
"378071806902407168","GO=&gt;http://t.co/Says6bwdOX ★RT★FOLLOWME★IFOLLOWYOU✔#boulderflood,#BestRapper,#Remember911,#PutinsFavoriteFlicks,#init http://t.co/AGYCYdTaIX","not informative"
"378072872280788992","RT @dailycamera: VIDEO: Flooding at 28th St underpass in #Boulder tonight http://t.co/JhQBnOZWiF #boulderflood","Informative"
"378075674088448001","Flash floods wash away homes, kill at least one near Boulder, Colorado - U.S. News http://t.co/P5mHLfbnLR via @NBCnews","Informative"
"378078203228585985","RT @USATODAY: #BREAKING: Severe floods strike Colorado http://t.co/JkvGm4hDu8","Informative"
"378078320690081792","NEW  F O L L O W E R S=&gt;http://t.co/0CJzDlNh5b   ✔#boulderflood,#BestRapper,#initialsofsomeonespecial,#cowx,#RedEye,S http://t.co/81QZvCKE5c","not informative"
"378079067255238656","At least 1 dead in Colo. flooding: Severe flooding in Jamestown in Colorado's Boulder County killed one person... http://t.co/4IwenaofFy","Informative"
"378079650250907648","RT @denverpost: UPDATE: Massive flooding has destroyed multiple homes in Boulder County: http://t.co/b2SOQOEIWb #COwx #BoulderFlood","Informative"
"378081462223777793","S/O to @CUBoulder, @dailycamera, and @bouldercounty for being on their game tonight. Thanks for the updates and alerts! #BoulderFlood","Informative"
"378082263302299649","Did you know? Via @bouldercolorado: #Boulder is the #1 flash flood risk community in Colorado. #Boulderflood http://t.co/BIuwhpDQfL #COwx","Informative"
"378082875687464960","RT @__yungsavvy: GO=&gt;http://t.co/lAcESTnam4 ★RT★FOLLOW ME★IFOLLOWYOU✔#boulderflood,#BestRapper,#initialsofsomeonespecial,#cowx,#RedEye http…","not informative"
"378084154937585664","RT @Kacyyy: @9NEWS our new front yard pond #boulderflood http://t.co/Lg7vETN7Pd","Informative"
"378086243705184256","RT @Muffissness: RT @LouiseMase Can't believe a few hours ago it was just a bit of heavy rain.. Escalated ridiculously quickly #boulderflood","Informative"
"378086805771268096","One Dead as Flash Flooding Hits Parts of Colorado http://t.co/K4XbG0R6gJ","Informative"
"378088110170451969","Flooding in Colorado kills 1:        http://t.co/5iROFQunkN","Informative"
