"item_id","item","label",
376843697943769000,"#longmont #co the tiny tim center is now httpAddress book keeper httpAddress #tweetmyjobs","not informative",1828
378011169883038000,"rt usrId crazy flooding in boulder colorado httpAddress via usrId","Informative",1831
378020179214492000,"here s the #boulderflood video that s circulating httpAddress right in my old neighborhood west of cu ! #staysafe httpAddress","Informative",
378026101588496000,"rt usrId video severe flooding hits near httpAddress of colorado at boulder httpAddress","Informative",
378029784204206000,"crazy flooding in boulder colorado httpAddress","Informative",
378038458024866000,"thoughts and prayers out to those in boulder who may not get to amante for morning httpAddress #boulderflood","Informative",
378042534863192000,"httpAddress usrId usrId they are saying south boulder creek near eldo sprgs is past #100yearflood levels #boulderflood","Informative",
378043411468538000,"go to httpAddress andrtfornewfollowers #bestrapper #putinsfavoriteflicks #remember911 #boulderflood httpAddress","not informative",
378043948352025000,"rt usrId boulder s floodplain map httpAddress #boulderflood","Informative",
378044472661000000,"who s tryin to tube on boulder creek right now ? #boulderflood","Informative",
378045630251147000,"rt usrId video flooding at 28th st underpass in #boulder tonight httpAddress #boulderflood","Informative",
378046271996441000,"rt usrId scanner #boulderflood reports lee road rock slide road is closed","Informative",
378047710659502000,"rt usrId with the #boulderflood remember to check and trust your sources before you httpAddress don t go around spreading false informatio","Informative",
378048146850329000,"pray for boulder colorado #boulderflood","Informative",
378049119924675000,"rt usrId and i thought living on boulder creek would be a good httpAddress #flashflood #boulderflood #bouldercreek httpAddress","Informative",
378050260792119000,"evacuation order for the town of #jamestown httpAddress torrential #flooding rain in the front range urban corridor n of i 70 #cowx #boulderflood","Informative",
378050491474657000,"rt usrId evacuation bags are ready by the front httpAddress now hoping for some httpAddress be safe amp ; well #boulder httpAddress #boulderflood #cowx","Informative",
378051825254953000,"i get DD reall followers ! httpAddress #bestrapper #boulderflood #putinsfavoriteflicks #remember911 #in httpAddress","not informative",
378053515563659000,"httpAddress #bestrapper #boulderflood #putinsfavoriteflicks #remember911 #ini httpAddress","not informative",
378053637177475000,"anyone wanna go skinny dipping ? #boulderflood","not informative",
378054652215824000,"#breaking jamestown colorado is under mandatory evacuation order due to flash flooding usrId httpAddress","Informative",
