item_id,item,label
376843697943769000,#longmont #co the tiny tim center is now httpaddress book keeper httpaddress #tweetmyjobs,not informative
378011169883038000,rt usrid crazy flooding in boulder colorado httpaddress via usrid,Informative
378020179214492000,here s the #boulderflood video that s circulating httpaddress right in my old neighborhood west of cu ! #staysafe httpaddress,Informative
378026101588496000,rt usrid video severe flooding hits near httpaddress of colorado at boulder httpaddress,Informative
378029784204206000,crazy flooding in boulder colorado httpaddress,Informative
378038458024866000,thoughts and prayers out to those in boulder who may not get to amante for morning httpaddress #boulderflood,Informative
378042534863192000,httpaddress usrid usrid they are saying south boulder creek near eldo sprgs is past #100yearflood levels #boulderflood,Informative
378043411468538000,go to httpaddress andrtfornewfollowers #bestrapper #putinsfavoriteflicks #remember911 #boulderflood httpaddress,not informative
378043948352025000,rt usrid boulder s floodplain map httpaddress #boulderflood,Informative
378044472661000000,who s tryin to tube on boulder creek right now ? #boulderflood,Informative
378045630251147000,rt usrid video flooding at 28th st underpass in #boulder tonight httpaddress #boulderflood,Informative
378046271996441000,rt usrid scanner #boulderflood reports lee road rock slide road is closed,Informative
378047710659502000,rt usrid with the #boulderflood remember to check and trust your sources before you httpaddress don t go around spreading false informatio,Informative
378048146850329000,pray for boulder colorado #boulderflood,Informative
378049119924675000,rt usrid and i thought living on boulder creek would be a good httpaddress #flashflood #boulderflood #bouldercreek httpaddress,Informative
378050260792119000,evacuation order for the town of #jamestown httpaddress torrential #flooding rain in the front range urban corridor n of i DD #cowx #boulderflood,Informative
378050491474657000,rt usrid evacuation bags are ready by the front httpaddress now hoping for some httpaddress be safe amp ; well #boulder httpaddress #boulderflood #cowx,Informative
378051825254953000,i get dd reall followers ! httpaddress #bestrapper #boulderflood #putinsfavoriteflicks #remember911 #in httpaddress,not informative
378053515563659000,httpaddress #bestrapper #boulderflood #putinsfavoriteflicks #remember911 #ini httpaddress,not informative
378053637177475000,anyone wanna go skinny dipping ? #boulderflood,not informative
378054652215824000,#breaking jamestown colorado is under mandatory evacuation order due to flash flooding usrid httpaddress,Informative
378054979380335000,the weather is crazy over httpaddress have rivers now amp ; some students are evacuating the dorms while others went mud sliding xd #boulderflood,Informative
378055482704814000,damnit usrid take care of the spammers using #boulderflood,Informative
378056556413080000,rt usrid significant flooding at the justice center in #boulderflood #cowx,Informative
378056971686932000,rt usrid #westminster and #thornton swift water dive teams en route to #boulder in case they are httpaddress #boulderflood #cowx,Informative
378057261081715000,#russelladler #news jamestown colorado is under mandatory evacuation order due to flash flooding usrid httpaddress,Informative
378058611638796000,rt usrid rt usrid sleeping above ground httpaddress stay safe #boulderflood #boulder httpaddress #cowx,Informative
378059840569881000,holy httpaddress boulder creek water volume for the last httpaddress be httpaddress #boulder #boulderflood httpaddress httpaddress,Informative
378061807681696000,#boulder #colorado has like dd days of sunshine a httpaddress now the #boulderflood ? that just proves if we are gonna do it we do it big !,Informative
378066689885078000,links for information on #boulderflood from usrid usrid usrid usrid #cowx httpaddress,Informative
378067142844748000,#socy2044 will there be looting ? or an increase in crime this weekend ? #boulderflood,Informative
378069365855621000,rt usrid scanner highway dd going into lyons is underwater from the west at the diamond httpaddress #cowx #boulderflood,Informative
378069734916252000,rain again picking up in dwtn bldr #boulderflood,Informative
378071202931032000,for updates on additional evacuation points throughout boulder county for #boulderflood visit httpaddress,Informative
378071806902407000,httpaddress rtfollowmeifollowyou #boulderflood #bestrapper #remember911 #putinsfavoriteflicks #init httpaddress,not informative
378072872280789000,rt usrid video flooding at 28th st underpass in #boulder tonight httpaddress #boulderflood,Informative
378075674088448000,flash floods wash away homes kill at least one near boulder colorado httpaddress news httpaddress via usrid,Informative
378078203228586000,rt usrid #breaking severe floods strike colorado httpaddress,Informative
378078320690082000,new f o l l o w e r httpaddress #boulderflood #bestrapper #initialsofsomeonespecial #cowx #redeye s httpaddress,not informative
378079067255239000,at least d dead in httpaddress flooding severe flooding in jamestown in colorado s boulder county killed one httpaddress httpaddress,Informative
378079650250908000,rt usrid update massive flooding has destroyed multiple homes in boulder county httpaddress #cowx #boulderflood,Informative
378081462223778000,httpaddress to usrid usrid and usrid for being on their game httpaddress thanks for the updates and alerts ! #boulderflood,Informative
378082263302300000,did you know ? via usrid #boulder is the #1 flash flood risk community in httpaddress #boulderflood httpaddress #cowx,Informative
378082875687465000,rt usrid httpaddress rtfollow meifollowyou #boulderflood #bestrapper #initialsofsomeonespecial #cowx #redeye http,not informative
378084154937586000,rt usrid usrid our new front yard pond #boulderflood httpaddress,Informative
378086243705184000,rt usrid rt usrid can t believe a few hours ago it was just a bit of heavy httpaddress escalated ridiculously quickly #boulderflood,Informative
378086805771268000,one dead as flash flooding hits parts of colorado httpaddress,Informative
378088110170452000,flooding in colorado kills D httpaddress,Informative
378088743527125000,httpaddress andrtifwantnewfollowers #boulderflood #bestrapper #cowx #initialsofsomeonespecial httpaddress,not informative
378095349547553000,t storms crossing i DD toward httpaddress strong storm sitting over #brighton tracking ne . #9wx forecast on #9news now httpaddress,Informative
378097819992592000,#breaking usrid say httpaddress DD DD #cuboulder family housing residents httpaddress #boulderflood #9newsmornings,Informative
378101922013532000,breaking news us dd is now open from sheridan to mccaslin #9wx #cotraf #boulderflood,Informative
378101930414711000,rt usrid another great pic of #boulderflood from httpaddress #boulder usrid brandash s photo httpaddress,Informative
378102945448853000,rt usrid the original of the photo that is floating everywhere for #boulderflood usrid photo httpaddress,Informative
378105671729684000,rt usrid heavy rains cause flash flooding in colorado collapsing homes and leaving at least one person dead httpaddress #boulder,Informative
378109257842827000,rt usrid rivalries aside keep those affected by the #boulderflood in your thoughts and httpaddress hopefully no more lives are taken,Informative
378111510205465000,rt usrid extremely dangerous and life threatening situation in boulder colorado area as flash flooding continues usrid ht,Informative
378112919499579000,one person killed and homes destroyed after flash floods wreak havoc in colorado httpaddress,Informative
378113326342885000,get new f o l l o wers ? visit httpaddress #boulderflood #bestrapper #initialsofsomeonespecial #cowx #musi httpaddress,not informative
378115570287542000,#developing d dead as flash flooding hits parts of colorado httpaddress via usrid,Informative
378118359511888000,everyone stay safe in the #boulderflood ! especially those having to be httpaddress it s getting httpaddress,Informative
378120104312992000,httpaddress #boulderflood #bestrapper #initialsofsomeonespecial #cowx #music httpaddress,not informative
378122012742668000,one person #killed and homes #destroyed after flash floods wreak havoc in #colorado sep dd D DD am et httpaddress,Informative
378122033697403000,rt usrid life threatening flash #flooding in colorado foothills including colorado springs fort collins and boulder areas http,Informative
378122948064068000,rt usrid 2nd death related to colorado flooding reported usrid for more httpaddress,Informative
378127477928784000,student captures flash flooding on university of colorado campus httpaddress,Informative
378128681677234000,#colorado flooding kills httpaddress usrid httpaddress,Informative
378129197576643000,rt amp ; visit d gain httpaddress #boulderflood #bestrapper #initialsofsomeonespecial #cowx #musi httpaddress,not informative
378130011292979000,rt usrid stress oem warns do not leave your home if you do not have to . do not drive in httpaddress httpaddress #boulderflood,Informative
378130057396371000,i get dd reall followers ! httpaddress #boulderflood #bestrapper #initialsofsomeonespecial #cowx #music httpaddress,not informative
378133446410785000,just in a second person has died in colorado s flash flooding officials httpaddress httpaddress #cowx,Informative
378133551272563000,rt usrid more on deadly colorado flooding reported by usrid with httpaddress,Informative
378133932937445000,httpaddress #boulderflood #bestrapper #initialsofsomeonespecial #cowx #music httpaddress,not informative
378134704710767000,rt usrid update flash flooding in boulder county colorado has left two people httpaddress httpaddress,Informative
378135161881129000,rt amp ; visit d gain httpaddress #boulderflood #bestrapper #initialsofsomeonespecial #cowx #musi httpaddress,not informative
378135338050261000,i get dd reall followers ! httpaddress #boulderflood #bestrapper #initialsofsomeonespecial #cowx #music httpaddress,not informative
378137695240733000,usrid boulder colorado feels god s wrath ! rejoice for the rapture httpaddress let all #atheist sodomites drown ! #boulderflood #cowx harsh,Informative
378139188421358000,httpaddress rtfornewfollowers #boulderflood #bestrapper #initialsofsomeonespecial #cowx #musi httpaddress,not informative
378139846935458000,usrid this is dd and dillon httpaddress cars submerged after road gives way httpaddress httpaddress awful !,Informative
378140266366267000,usrid d dead as flash flooding hits parts of httpaddress flash flooding in colorado s boulder county has left one httpaddress usrid,Informative
378141524623913000,rt usrid rt usrid roads torn up #boulderflood httpaddress #coflood,Informative
378143340769714000,rt usrid large blocks of cement ripped off roads in #boulderflood httpaddress,Informative
378143550510088000,i ll show the doppler radar from boulder colorado in just a httpaddress httpaddress bridge washed httpaddress amazing live httpaddress,Informative
378144624243507000,rt usrid not going anywhere for a while in my httpaddress at lakebriar off linden twomile httpaddress httpaddress #coflood,Informative
378145781846258000,httpaddress rtfollowmeifollowyou #boulderflood #bestrapper #initialsofsomeonespecial #cowx #music t httpaddress,not informative
378147442786439000,so stupid ! rt usrid not smart life threatening #boulderflood ? boulder college students go tubing video httpaddress,Informative
378149112123634000,httpaddress rtfornewfollowers #boulderflood #bestrapper #initialsofsomeonespecial #cowx #musi httpaddress,not informative
378149443507204000,two dead several structures destroyed in httpaddress flooding hundreds of university of colorado boulder students .. httpaddress,Informative
378149984551449000,rt usrid #coflood hashtags #boulderflood #waldoflood #ccf #cowx any others ? when in doubt turn around seek higher ground d,not informative
378150852793750000,rt usrid at least one dead in colorado flash flooding httpaddress #environment,Informative
378151544849306000,rt usrid if you re looking to volunteer or donate to help clean up usrid says stay home and wait #boulderflood,Informative
378151578399560000,colorado flash floods kill two httpaddress #news,Informative
378152455005282000,rt usrid httpaddress rt usrid two trucks one car submerged after road collapse at hwy dd and httpaddress #cowx #boulderflood httpaddress,Informative
378155642667540000,httpaddress #boulderflood #bestrapper #initialsofsomeonespecial #cowx #music httpaddress,not informative
378155923698483000,jamie s httpaddress class canceled today at httpaddress rt flash floods kill at least d in colorado httpaddress via usrid,Informative
378158079579128000,rt usrid two trucks and one car in the water after a road collapse at hwy dd and httpaddress #cowx #boulderflood usrid httpaddress,Informative
378159971210650000,severe flash flooding in the boulder #colorado area last httpaddress one person died httpaddress #cowx #flashflood httpaddress,Informative
378161380462834000,rt usrid flooding from fast moving storm in colorado kills two people and leads to the evacuation of hundreds of homes httpaddress,Informative
378164870157722000,yousa punk bitch if you don t know about httpaddress this flood don t know what it s dealin wit ! #boulderflood,Informative
378167080530354000,get new httpaddress #bestrapper #initialsofsomeonespecial #throwbackthursday #bb15 #boulderflood httpaddress,not informative
378168267505824000,httpaddress #boulderflood #bestrapper #initialsofsomeonespecial #cowx #music httpaddress,not informative
378168804380918000,rt usrid please rt new evac center at silver creek high school at dd nelson road in httpaddress dailycamera,Informative
378170578588291000,the folks in #jamestown were told to evacuate but the road is washed out and they can t httpaddress #boulderflood,Informative
378171362936103000,usrid usrid #coflood #weather #colorado #aurora crazy flooding httpaddress,Informative
378171815891595000,rt usrid d dead in colorado flooding after body of adult male discovered in boulder county usrid for more httpaddress,Informative
378172612805153000,lasvegassun d dead as flash flooding hits parts of colorado httpaddress #lasvegas,Informative
378173116125413000,sheriff pelle we are trying desperately to get help to people but we re continually httpaddress #coflood,Informative
378174277947646000,rt usrid city of #boulder httpaddress boulder county public info call center httpaddress impacted residents can call for httpaddress #boulderflood,Informative
378175691449070000,rt usrid #boulderflood road closures httpaddress many north #boulder roads just about every httpaddress stay httpaddress,Informative
378176358318629000,massive flooding in colorados boulder county httpaddress,Informative
378177356570964000,rt usrid #boulderflood no school for me httpaddress,Informative
378178619048088000,rt usrid please pray my family in colorado and all others impacted by the #boulderflood,Informative
378178661020496000,rt usrid forget biking to work today in #boulder we could have httpaddress #boulderflood httpaddress,Informative
378179256620024000,rt usrid wonderland and httpaddress #boulderflood httpaddress,not informative
378179877368631000,rt usrid #cuboulder campus will also be closed tomorrow httpaddress due to httpaddress #cowx,Informative
378180426818257000,usrid boulder flooding deadly high waters in northern colorado force evacuations cause mudslides httpaddress crazy !,Informative
378180963693380000,rt usrid colorado flooding d killed ; flood waters force evacuations destroy roads httpaddress #coflood,Informative
378181332792115000,rt usrid one person dead after flash flooding in colorado days of heavy rains caused flash flooding in colorado s httpaddress httpaddress,Informative
378183031460069000,two dead hundreds evacuated cars stranded in colorado flooding httpaddress,Informative
378183505424814000,new f o l l o w e r httpaddress #bestrapper #boulderflood #initialsofsomeonespecial #pitmad #tbt jk httpaddress,not informative
378183530599432000,rt usrid please pray my family in colorado and all others impacted by the #boulderflood,Informative
378183627051237000,stay safe everyone ! #boulderflood,Informative
378184214274769000,rt usrid the httpaddress of colorado boulder will be closed today and tomorrow due to massive flooding in the area that has killed d,Informative
378184453362680000,rt usrid wall of water floods colorado kills d httpaddress #9news,Informative
378184491111842000,rt usrid if your bored check out the trend #boulderflood some crazy httpaddress,Informative
378186965726007000,rt usrid at least three deaths have been reported in colorado flooding ; more victims are httpaddress httpaddress,Informative
378187288703816000,get new httpaddress #bestrapper #initialsofsomeonespecial #throwbackthursday #bb15 #boulderflood httpaddress,not informative
378188387603071000,i get dd new httpaddress #bestrapper #boulderflood #initialsofsomeonespecial #pitmad #tomq httpaddress,not informative
378188693791453000,new f o l l o w e r httpaddress #bestrapper #boulderflood #initialsofsomeonespecial #pitmad #tomqan httpaddress,not informative
378189641708351000,usrid not smart life threatening #boulderflood ? boulder college students go tubing video httpaddress #toosmart,Informative
378190270837187000,bike path #boulderflood httpaddress,not informative
378190577046524000,what ? boulder be safe everyone ! rt usrid update d dead hundreds evacuated in colorado flooding httpaddress,Informative
378191575274095000,httpaddress #bestrapper #boulderflood #sharewhatsgood #tomqanda #initialsofso httpaddress,not informative
378191675941589000,rt usrid two dead hundreds evacuated cars stranded in colorado flooding httpaddress,Informative
378191730450788000,get new httpaddress #bestrapper #initialsofsomeonespecial #throwbackthursday #bb15 #boulderflood httpaddress,not informative
378193936646304000,rt usrid please pray my family in colorado and all others impacted by the #boulderflood,Informative
378193982796202000,get new httpaddress #bestrapper #initialsofsomeonespecial #throwbackthursday #bb15 #boulderflood httpaddress,not informative
378194846814437000,new f o l l o w e r httpaddress #sharewhatsgood #bestrapper #boulderflood #tomqanda #initialsofsome httpaddress,not informative
378195111080772000,get new f o l l o wers ? visit httpaddress #sharewhatsgood #bestrapper #boulderflood #tomqanda #initialsof httpaddress,not informative
378195434033783000,#boulder i hope you re httpaddress #boulderflood,Informative
378195496935776000,know what s going on in your httpaddress #disasters #nature #destruction d dead hundreds evacuated in colorado flooding httpaddress,Informative
378195668898021000,i hope no weed plants were httpaddress #boulderflood,Informative
378196650394522000,httpaddress is fatter too early for woo httpaddress no matter how magical north boulder lake is . #boulderflood #getbackinsideyouidiots,not informative
378197732508185000,#boulderflood is what puddle of mudd should ve been named,Informative
378198479111074000,bfp live interactive coverage flooding in colorado stay on top of the latest videos and social media httpaddress httpaddress,Informative
378198739153723000,get new httpaddress #bestrapper #initialsofsomeonespecial #throwbackthursday #bb15 #boulderflood httpaddress,not informative
378198986597093000,sheriff 3rd person killed in colorado flooding httpaddress,Informative
378200127443182000,rt usrid the ramp from eb i DD to sb i DD is closed due to flooding usrid #cotraf #coflood,Informative
378201062772982000,rt usrid D DD am mike amp ; anne still on the air ! #boulderflood #7news #cowx #denver httpaddress,Informative
378201951969632000,colorado flooding leaves d people dead httpaddress,Informative
378203231262093000,video st. vrain river bow hitting the bottom of the bridge on hover #longmont httpaddress,Informative
378204040762364000,rt usrid please pray my family in colorado and all others impacted by the #boulderflood,Informative
378204820903330000,rt usrid we hope everyone is staying safe !! #boulderflood #prayforcolorado,Informative
378205533913633000,stay informed stay safe ! #coflood twitter list via usrid httpaddress #ccf #boulderflood #waldoflood #cowx,Informative
378206142070940000,get new httpaddress #bestrapper #initialsofsomeonespecial #throwbackthursday #bb15 #boulderflood httpaddress,not informative
