"item_id","item","label",,,,,,
"'575735721744449536'","Cyclone Pam hits New Zealand - dominion-post | http://t.co/cT7mCvgcwX - http://t.co/HyvLlOndsZ http://t.co/okKedXJaub","earthquake",,,,,,
"'575736033058406400'","#CylonePam devastates #Vanuatu: Regional disaster #insurance scheme can help fund gvt rebuilding efforts http://t.co/MmeMzSKW13 #WCDRR","earthquake",,,,,,
"'575736037986578433'","RT @9NewsAUS: Emergency response teams from Australia are on their way to Vanuatu, where dozens are feared dead. http://t.co/kcAthEBiSb #TC‰Û_","earthquake",,,,,,
"'575736076087644160'","Vanuatu ‰_ #RT Cyclone Pam Lashes Vanuatu with Category 4 Winds | The Weather Channel - The Weather Channel  http://t.co/trEGs05JnN","earthquake",,,,,,
"'575736131817369601'","Aid agencies: Vanuatu conditions more challenging than Philippines typhoon http://t.co/G9WIl4qrHx","earthquake",,,,,,
"'575736147046834176'","RT @jondonnisonbbc: 2 year old Michael in his village now destroyed.  Village chief tells me desperately need water. #vanuatu http://t.co/S‰Û_","earthquake",,,,,,
"'575736273350098944'","RT @tiffys1983: @VampLovinSookie @FaithNorthman13 @VikingVampEric with you two... I'm sure he'd be ok... Throw Pam in the mix too (winks)","not informative",,,,,,
"'575736292618563584'","Cyclone Pam: solutions to the human cost of climateåÊchange http://t.co/mOkdLWNRSj","earthquake",,,,,,
"'575736345332600832'","@pami42 he he, how's it going, Pam?","not informative",,,,,,
"'575736452413136897'","RT @SamaritansPurse: Help victims of #CyclonePam in #Vanuatu now: http://t.co/blGZCDtKCN","earthquake",,,,,,
"'575736502006603776'","Thousands await aid in Vanuatu as death toll increases - Fox News http://t.co/RZzbiN1VwK","earthquake",,,,,,
"'575736505798361088'","#Death toll varies as officials struggle to assess Cyclone Pam's damage - Fox News http://t.co/ZsvYBCSinO","earthquake",,,,,,
"'575736544465580033'","'Complete devastation' after cyclone hits island nation of Vanuatu http://t.co/MwqMyNkhuA","earthquake",,,,,,
"'575736623708532736'","Devastated Vanuatu starts to get aid http://t.co/1YdPzHrrfO","earthquake",,,,,,
"'575736634190270465'","RT @PacIsLiving: At 12:00pm local time, Severe Tropical Cyclone PAM was located  about 110 KM south of Tanna and 75 KM west... http://t.co/‰Û_","earthquake",,,,,,
"'575736643191246848'","Sam Smith - Lay Me Down (Red Nose Day 2015) ft. Jo... =&gt","&gt"," http://t.co/ozXe5tEIdU  Timeline #Vanuatu ##xfactornz #‰Û_ http://t.co/ZO4FjKtdBi","not informative",,,,
"'575736693820514304'","http://t.co/KSurW74TxO. Tracking link for cyclone pan @PhilipDuncan","earthquake",,,,,,
"'575736712892145665'","Cyclone Pam: Untangling the complex science on tropical storms and climate change | Carbon Brief http://t.co/mTx9dewNfB","earthquake",,,,,,
"'575736745372811265'","RT @SAWhitePlains: Sending off an adventurer today! @VDUBNYC enjoy your vacation in #China before your #reliefwork in #Vanuatu! #service ht‰Û_","not informative",,,,,,
"'575736838293426176'","Thank Pam for the favored http://t.co/eOO0l4rdqY","not informative",,,,,,
