item_id,item,label,,,,,,
'575735721744449536',Cyclone Pam hits New Zealand - dominion-post | http://t.co/cT7mCvgcwX - http://t.co/HyvLlOndsZ http://t.co/okKedXJaub,Informative,,,,,,
'575736033058406400',#CylonePam devastates #Vanuatu: Regional disaster #insurance scheme can help fund gvt rebuilding efforts http://t.co/MmeMzSKW13 #WCDRR,Informative,,,,,,
'575736037986578433',"RT @9NewsAUS: Emergency response teams from Australia are on their way to Vanuatu, where dozens are feared dead. http://t.co/kcAthEBiSb #TC‰Û_",Informative,,,,,,
'575736076087644160',Vanuatu ‰_ #RT Cyclone Pam Lashes Vanuatu with Category 4 Winds | The Weather Channel - The Weather Channel  http://t.co/trEGs05JnN,Informative,,,,,,
'575736131817369601',Aid agencies: Vanuatu conditions more challenging than Philippines typhoon http://t.co/G9WIl4qrHx,Informative,,,,,,
'575736147046834176',RT @jondonnisonbbc: 2 year old Michael in his village now destroyed.  Village chief tells me desperately need water. #vanuatu http://t.co/S‰Û_,Informative,,,,,,
'575736273350098944',RT @tiffys1983: @VampLovinSookie @FaithNorthman13 @VikingVampEric with you two... I'm sure he'd be ok... Throw Pam in the mix too (winks),not informative,,,,,,
'575736292618563584',Cyclone Pam: solutions to the human cost of climateåÊchange http://t.co/mOkdLWNRSj,Informative,,,,,,
'575736345332600832',"@pami42 he he, how's it going, Pam?",not informative,,,,,,
'575736452413136897',RT @SamaritansPurse: Help victims of #CyclonePam in #Vanuatu now: http://t.co/blGZCDtKCN,Informative,,,,,,
'575736502006603776',Thousands await aid in Vanuatu as death toll increases - Fox News http://t.co/RZzbiN1VwK,Informative,,,,,,
'575736505798361088',#Death toll varies as officials struggle to assess Cyclone Pam's damage - Fox News http://t.co/ZsvYBCSinO,Informative,,,,,,
'575736544465580033','Complete devastation' after cyclone hits island nation of Vanuatu http://t.co/MwqMyNkhuA,Informative,,,,,,
'575736623708532736',Devastated Vanuatu starts to get aid http://t.co/1YdPzHrrfO,Informative,,,,,,
'575736634190270465',"RT @PacIsLiving: At 12:00pm local time, Severe Tropical Cyclone PAM was located  about 110 KM south of Tanna and 75 KM west... http://t.co/‰Û_",Informative,,,,,,
'575736643191246848',Sam Smith - Lay Me Down (Red Nose Day 2015) ft. Jo... =&gt,&gt, http://t.co/ozXe5tEIdU  Timeline #Vanuatu ##xfactornz #‰Û_ http://t.co/ZO4FjKtdBi,not informative,,,,
'575736693820514304',http://t.co/KSurW74TxO. Tracking link for cyclone pan @PhilipDuncan,Informative,,,,,,
'575736712892145665',Cyclone Pam: Untangling the complex science on tropical storms and climate change | Carbon Brief http://t.co/mTx9dewNfB,Informative,,,,,,
'575736745372811265',RT @SAWhitePlains: Sending off an adventurer today! @VDUBNYC enjoy your vacation in #China before your #reliefwork in #Vanuatu! #service ht‰Û_,not informative,,,,,,
'575736838293426176',Thank Pam for the favored http://t.co/eOO0l4rdqY,not informative,,,,,,
'575736933755805696',RT @WVAsia: First photos coming from our staff in Vanuatu. Scenes of absolute destruction #CyclonePam http://t.co/mcYkdp3i1Q,Informative,,,,,,
'575736980966785024',RT @MoveTheWorld: Day 1 in #Vanuatu protecting animals after #TCPam - our team feeds the Pelam family's dogs Snoopy and Blackie http://t.co‰Û_,Informative,,,,,,
'575737015599259648',RT @johnspatricc: ‰ Õ http://t.co/9z4wqfWL8X Tropical Cyclone Pam: Vanuatu aid workers call for patience amid massive ... #Vanuatu   466,Informative,,,,,,
'575737024310697984',"Vanuatu begins relief efforts after massive cyclone hits, struggles to assess damage http://t.co/9ddYSmg2Ti",Informative,,,,,,
'575737043071930368',United Nations 'fears the worst' after typhoon batters Vanuatu #Vanuatu. http://t.co/9Q3rRIj8fC,Informative,,,,,,
'575737048994217984',Cyclone sets country back years: Jacobeth Nilah wails in pain in the storm-battered hospital. http://t.co/4fdcTAV10f,Informative,,,,,,
'575737189646090240',"Creatine-enriched, high-protein Cyclone Milk 'world's first': MaxiNutrition http://t.co/EoQz1YStb5 via @NutraEurope",not informative,,,,,,
'575737292913963008',RT @smitharyy: ‰ Õ http://t.co/esrN2fllJF #CyclonePam Cyclone Pam Cyclone Pam 'sounds like a freight train' http://t.co/ILF88iZm75,Informative,,,,,,
'575737350430420992',Pam Anderson -- Rick Salomon Made $40 Mil Last Year ... Playing Poker with ONE GUY!!! http://t.co/nWTxrt6aSR,not informative,,,,,,
'575737382969962496',RT @MarchAustralia: Our thoughts are with Vanuatu and other Pacific countries hit by this cyclone. http://t.co/NHciwks1pP,Informative,,,,,,
'575737419057618944',"http://t.co/oomvAwbZZt Vanuatu takes direct hit from Cyclone Pam, possibly worst in ... #retweet #news http://t.co/rRYktLT4eN",Informative,,,,,,
'575737437428707328',RT @adra_nz: Here is the promo video for tomorrows offering for Vanuatu! Please share with your friends and families today! http://t.co/Wy2‰Û_,Informative,,,,,,
'575737616244543488',I'm tryin so hard not to laugh while Pam got this hot comb to my hair ‡_Ê2‡_Ê2,not informative,,,,,,
'575737639497682944',The BBC could have checked Wikipedia for the truth about Cyclone Pam: The storm which devastated Vanuatu is no... http://t.co/1jPEoP9Nlx,Informative,,,,,,
'575737656388251649',Pam Anderson Files Restraining order Against Rick Solomon ... Allegations of 'Serial Baby Killer' http://t.co/DILmHlxuVC,not informative,,,,,,
'575737691179868160',Feeling for the beautiful people of Vanuatu. Recovery will take a long time. http://t.co/ZdG4eF6rh9,Informative,,,,,,
'575737693369294848',"RT @AJENews: Vanuatu president says ""monster"" cyclone destoyed or damaged 90% of buildings in capital http://t.co/SjUCDu6epc http://t.co/Mw‰Û_",Informative,,,,,,
'575737709605613569',"Still awake. Watching Cyclone Pam on earthwindmap. Very near East Cape, North Island now. http://t.co/EDRr9SFcvS",Informative,,,,,,
'575737716765159424',Thousands wait for relief in Vanuatu as death toll inches up: Thousands of people left homeless by a fierce cy... http://t.co/sslKmkGUxG,Informative,,,,,,
'575737826702135297',RT @UNICEF: About 2 in 3 children in #Vanuatu in need of humanitarian assistance http://t.co/STtLs7uBT1 #CyclonePam http://t.co/NieXzcuCdt,Informative,,,,,,
'575737841344495618',Christian Worship Rises amid Vanuatu Destruction http://t.co/joZ7QFF3Uf,Informative,,,,,,
'575737842325929984',"RT @TimesofIsrael: After cyclone, Israeli mission provides relief in Vanuatu http://t.co/yHHLCj5Yvm",Informative,,,,,,
'575737866698911745',"@LMBR_50 Cricket communities rally behind Vanuatu: ICC, Cricket Australia and New Zealand Cricket pitch in to held the people of Vanu...",Informative,,,,,,
'575737885971742720',RT @PieroHearts: PAM(Piero Amzing Select)  Photo @Ju7909 http://t.co/wCnzep5yxV,not informative,,,,,,
'575737898231693313',Vanuatu cyclone: First aid reaches islands ravaged by Pam - BBC News:      15 March 2015 Last upd... http://t.co/GaYxoSYBkt #worldnews,Informative,,,,,,
'575737966582108161',#Entertainment #Buzz Custom Pam Anderson neck plate Strat/Telecaster http://t.co/RLl2OHD5GU #Buy #Discount,not informative,,,,,,
'575738022047649793',Tropical Cyclone Pam Kills at Least Six People in Vanuatu - Wall Street Journal http://t.co/KnrgDHbEfW,Informative,,,,,,
'575738025180725248',Aid worker in cyclone-hit Vanuatu: 'Holding on for dear life':  Early reports from Vanuatu said at least six p... http://t.co/4fEC4KN5V9,Informative,,,,,,
'575738117346435072',Vanuatu cyclone: grave concern for outlying villages - The Australian: The AustralianVanuatu cyclone: grave co... http://t.co/j8nIv63Mnm,Informative,,,,,,
'575738169120829440',"Cyclone Pam Delays Volvo Ocean Race Start, Leg 5 Auckland-Itajai, #VOR #BWR2015  #sailing Videos http://t.co/3mme83KJ32",Informative,,,,,,
'575738183197069312',"RT @ClimateReality: Baldwin Lonsdale, Vanuatu‰Ûªs president, on #CyclonePam: climate change contributes to these extreme weather events http:‰Û_",Informative,,,,,,
'575738227820249088',Cyclone Hits Island Nation of Vanuatu and Kills 6 http://t.co/jMbVQ7K9gR,Informative,,,,,,
'575738277786951681',"Come out and let's show Pam some love and wish her a Happy Birthday! Outside Oyster Roast at noon, then... http://t.co/3nc7kyuRLU",not informative,,,,,,
'575738314856120320',RT @narendramodi: MEA will provide immediate financial assistance to people of Vanuatu. We stand shoulder to shoulder with Vanuatu in this ‰Û_,Informative,,,,,,
'575738326159867905',RT @3AW693: There's reports ravaged Vanuatu experienced an eight-metre storm surge as a result of #CyclonePam.,Informative,,,,,,
'575738350671257600',Uff!! it caught ,-) 'Unbelievable destruction' reported in Tropical Cyclone Pam's wake - CNN: CNN'Unbe... http://t.co/q1a04GR7IS #gossip,Informative,,,,,
'575738368341897216',"A week after Vanuatu cyclone, some homeless still await help http://t.co/jGwZWXmp34",Informative,,,,,,
'575738467226927104',MY VERY RUDE FURTHER ADVENTURES $2.99 Amazon US http://t.co/HGWiDqsxvK UK http://t.co/M6tnL8K2OE More of Pamå«s story.,not informative,,,,,,
'575738509140480000',Cyclone Pam May Be 'One of The Worst in Pacific History': UNICEF: Super Tropical Cyclone Pam could be one of t... http://t.co/yaciAQ8sC0,Informative,,,,,,
'575738527251439617',RT @EmrgencyKittens: A cat can work out mathematically the exact spot to sit to cause the most inconvenience. -Pam Brown http://t.co/kseM7W‰Û_,not informative,,,,,,
'575738572931751938',#News #TV #Media Cyclone Pam: Vanuatu Grapples With Devastation After Deadly Storm‰Û_ http://t.co/dw2aEP7CXN,Informative,,,,,,
'575738640577486848',Aquamarine - Spring Color by Pam http://t.co/Xd88Z2PTJd  #artisanbot #udobiz #decor #jewelry #art #gifts,not informative,,,,,,
'575738655932702720',We are tipping Hidden Cyclone to blow his Ryanair Chase rivals this afternoon at 2:40pm. Race preview here. http://t.co/DOJT0oPu4N,not informative,,,,,,
'575738734802432001',RT @muftimenk: Not many have heard of Vanuatu. Keep them in our prayers as massive cyclone rips the country. May the Almighty protect and g‰Û_,Informative,,,,,,
'575738828331188224',RT @aureliabalpe: #SamoaRedCross liaising with its Government to send relief stocks to Tuvalu on Pacific Patrol boat #MVNAFANUA to Tuvalu #‰Û_,Informative,,,,,,
'575738832030560256',RT @LIVENewsDesk: Tropical Cyclone Pam now a category 3 as it approaches New Zealand - winds at Cape Reinga gusting up to 130 k's an hour e‰Û_,Informative,,,,,,
'575738837051174913',#thetwittazine @writerswebla #SueMee@TheSueMee Those runnin Vanuatu should b#Ashamed THE BOLT REPORT SUPPORTERS GROUP http://t.co/ajLfNUhpzR,Informative,,,,,,
'575738863659925504',RT @MissionBlue: Our partners at Island Reach joining recovery efforts as #Vanuatu deals with #Cyclone Pam. http://t.co/iJteN3T1kb http://t‰Û_,Informative,,,,,,
'575738871205363712',While waiting for cyclone Pam to pass  LMAO @NataliaKills ‡_Ê2‡_Ê2‡_Ê2 http://t.co/NgsvfMKOmD,Informative,,,,,,
'575738883448664064',BREAKING: Cyclone devastates Vanuatu - Financial Times: New York TimesCyclone devastates Va... http://t.co/qrhw1DF85E #Khaatumo #Khatumo,Informative,,,,,,
'575738910094962688',Cyclone-hit Vanuatu appeals for help http://t.co/IrwrW2KtYh,Informative,,,,,,
'575738966130954240',RT @tpwkelly: #gippsnews MT @VEGAidCampaign is here!    Benefit concert for Vanuatu Cyclone relief. http://t.co/hTxgIT6xgs http://t.co/WjDS‰Û_,Informative,,,,,,
'575738991795900416',Food running critically short in Vanuatu as entire islands described as http://t.co/B9hbucSXwP,Informative,,,,,,
'575739015372095488',RT @AJENews: Vanuatu in desperate appeal for aid after devastating cyclone. Dozens feared dead. http://t.co/7bSsL6m51k http://t.co/XO8miB1R‰Û_,Informative,,,,,,
'575739020245774336',"#xfactornz ""I was worried about Cyclone Pam..."" But why?",not informative,,,,,,
'575739020946227201',Vanuatu‰Ûªs cyclone plight could soon become the norm: the struggle for climate justice for small island states  http://t.co/2qSqk4ANf8,Informative,,,,,,
'575739022514896896',"RT @TobyHater: Jim is a friend of mine. So the only people this crush really concerns is Jim and Pam, and me.",not informative,,,,,,
'575739022988828673',PM shares sorrow and pain of those affected by cyclone in Vanuatu http://t.co/F2m06gvvXK via @narendramodi,Informative,,,,,,
'575739029775233025',RT @ABCemergency: #CyclonePam: The Red Cross has also launched an appeal to help those in Vanuatu. Details at http://t.co/hKpBGecttx. http:‰Û_,Informative,,,,,,
'575739031738146818',RT @CAREAustralia: #CyclonePam was the strongest cyclone to hit #Vanuatu in recorded history. You can help: http://t.co/JGibG2g0zs http://t‰Û_,Informative,,,,,,
'575739033394900992',RT @narendramodi: The devastation caused by Cyclone Pam in Vanuatu is extremely unfortunate. I share the sorrow &amp, pain of all those who hav‰Û_,Informative,,,,,
