item_id,item,label
'575735721744449536',cyclone pam hits new zealand dominion post httpAddress httpAddress httpAddress,Informative
'575736033058406400',#cylonepam devastates #vanuatu regional disaster #insurance scheme can help fund gvt rebuilding efforts httpAddress #wcdrr,Informative
'575736037986578433',rt usrId emergency response teams from australia are on their way to vanuatu where dozens are feared httpAddress httpAddress #tc,Informative
'575736076087644160',vanuatu #rt cyclone pam lashes vanuatu with category D winds the weather channel the weather channel httpAddress,Informative
'575736131817369601',aid agencies vanuatu conditions more challenging than philippines typhoon httpAddress,Informative
'575736147046834176',rt usrId D year old michael in his village now httpAddress village chief tells me desperately need httpAddress #vanuatu httpAddress,Informative
'575736273350098944',rt usrId usrId usrId usrId with you httpAddress i m sure he d be httpAddress throw pam in the mix too winks,not informative
'575736292618563584',cyclone pam solutions to the human cost of climatechange httpAddress,Informative
'575736345332600832',usrId he he how s it going pam ?,not informative
'575736452413136897',rt usrId help victims of #cyclonepam in #vanuatu now httpAddress,Informative
'575736502006603776',thousands await aid in vanuatu as death toll increases fox news httpAddress,Informative
'575736505798361088',#death toll varies as officials struggle to assess cyclone pam s damage fox news httpAddress,Informative
'575736544465580033',complete devastation after cyclone hits island nation of vanuatu httpAddress,Informative
'575736623708532736',devastated vanuatu starts to get aid httpAddress,Informative
'575736634190270465',rt usrId at 12 00pm local time severe tropical cyclone pam was located about DD km south of tanna and DD km httpAddress httpAddress,Informative
'575736693820514304',httpAddress tracking link for cyclone pan usrId,Informative
'575736712892145665',cyclone pam untangling the complex science on tropical storms and climate change carbon brief httpAddress,Informative
'575736745372811265',rt usrId sending off an adventurer today ! usrId enjoy your vacation in #china before your #reliefwork in #vanuatu ! #service ht,not informative
'575736838293426176',thank pam for the favored httpAddress,not informative
'575736933755805696',rt usrId first photos coming from our staff in httpAddress scenes of absolute destruction #cyclonepam httpAddress,Informative
'575736980966785024',rt usrId day D in #vanuatu protecting animals after #tcpam our team feeds the pelam family s dogs snoopy and blackie httpAddress,Informative
'575737015599259648',rt usrId httpAddress tropical cyclone pam vanuatu aid workers call for patience amid massive .. #vanuatu DD,Informative
'575737024310697984',vanuatu begins relief efforts after massive cyclone hits struggles to assess damage httpAddress,Informative
'575737043071930368',united nations fears the worst after typhoon batters vanuatu httpAddress httpAddress,Informative
'575737048994217984',cyclone sets country back years jacobeth nilah wails in pain in the storm battered httpAddress httpAddress,Informative
'575737189646090240',creatine enriched high protein cyclone milk world s first maxinutrition httpAddress via usrId,not informative
'575737292913963008',rt usrId httpAddress #cyclonepam cyclone pam cyclone pam sounds like a freight train httpAddress,Informative
'575737350430420992',pam anderson rick salomon made 40 mil last year .. playing poker with one guy !! httpAddress,not informative
'575737382969962496',rt usrId our thoughts are with vanuatu and other pacific countries hit by this httpAddress httpAddress,Informative
'575737419057618944',httpAddress vanuatu takes direct hit from cyclone pam possibly worst in .. #retweet #news httpAddress,Informative
'575737437428707328',rt usrId here is the promo video for tomorrows offering for vanuatu ! please share with your friends and families today ! httpAddress,Informative
'575737616244543488',i m tryin so hard not to laugh while pam got this hot comb to my hair 2 2,not informative
'575737639497682944',the bbc could have checked wikipedia for the truth about cyclone pam the storm which devastated vanuatu is httpAddress httpAddress,Informative
'575737656388251649',pam anderson files restraining order against rick solomon .. allegations of serial baby killer httpAddress,not informative
'575737691179868160',feeling for the beautiful people of httpAddress recovery will take a long httpAddress httpAddress,Informative
'575737693369294848',rt usrId vanuatu president says monster cyclone destoyed or damaged 90 of buildings in capital httpAddress httpAddress,Informative
'575737709605613569',still httpAddress watching cyclone pam on httpAddress very near east cape north island httpAddress httpAddress,Informative
'575737716765159424',thousands wait for relief in vanuatu as death toll inches up thousands of people left homeless by a fierce httpAddress httpAddress,Informative
'575737826702135297',rt usrId about D in D children in #vanuatu in need of humanitarian assistance httpAddress #cyclonepam httpAddress,Informative
'575737841344495618',christian worship rises amid vanuatu destruction httpAddress,Informative
'575737842325929984',rt usrId after cyclone israeli mission provides relief in vanuatu httpAddress,Informative
'575737866698911745',usrId cricket communities rally behind vanuatu icc cricket australia and new zealand cricket pitch in to held the people of httpAddress,Informative
'575737885971742720',rt usrId pam piero amzing select photo usrId httpAddress,not informative
'575737898231693313',vanuatu cyclone first aid reaches islands ravaged by pam bbc news DD march 20DD last httpAddress httpAddress #worldnews,Informative
'575737966582108161',#entertainment #buzz custom pam anderson neck plate httpAddress httpAddress #buy #discount,not informative
'575738022047649793',tropical cyclone pam kills at least six people in vanuatu wall street journal httpAddress,Informative
'575738025180725248',aid worker in cyclone hit vanuatu holding on for dear life early reports from vanuatu said at least six httpAddress httpAddress,Informative
'575738117346435072',vanuatu cyclone grave concern for outlying villages the australian the australianvanuatu cyclone grave httpAddress httpAddress,Informative
'575738169120829440',cyclone pam delays volvo ocean race start leg D auckland itajai #vor #bwr201D #sailing videos httpAddress,Informative
'575738183197069312',rt usrId baldwin lonsdale vanuatus president on #cyclonepam climate change contributes to these extreme weather events http,Informative
'575738227820249088',cyclone hits island nation of vanuatu and kills D httpAddress,Informative
'575738277786951681',come out and let s show pam some love and wish her a happy birthday ! outside oyster roast at noon httpAddress httpAddress,not informative
'575738314856120320',rt usrId mea will provide immediate financial assistance to people of httpAddress we stand shoulder to shoulder with vanuatu in this,Informative
'575738326159867905',rt usrId there s reports ravaged vanuatu experienced an eight metre storm surge as a result of httpAddress,Informative
'575738368341897216',a week after vanuatu cyclone some homeless still await help httpAddress,Informative
'575738467226927104',my very rude further adventures httpAddress amazon us httpAddress uk httpAddress more of pams httpAddress,not informative
'575738509140480000',cyclone pam may be one of the worst in pacific history unicef super tropical cyclone pam could be one of httpAddress httpAddress,Informative
'575738527251439617',rt usrId a cat can work out mathematically the exact spot to sit to cause the most httpAddress pam brown httpAddress,not informative
'575738572931751938',#news #tv #media cyclone pam vanuatu grapples with devastation after deadly storm httpAddress,Informative
'575738640577486848',aquamarine spring color by pam httpAddress #artisanbot #udobiz #decor #jewelry #art #gifts,not informative
'575738655932702720',we are tipping hidden cyclone to blow his ryanair chase rivals this afternoon at httpAddress race preview httpAddress httpAddress,not informative
'575738734802432001',rt usrId not many have heard of httpAddress keep them in our prayers as massive cyclone rips the httpAddress may the almighty protect and g,Informative
'575738828331188224',rt usrId #samoaredcross liaising with its government to send relief stocks to tuvalu on pacific patrol boat #mvnafanua to tuvalu #,Informative
'575738832030560256',rt usrId tropical cyclone pam now a category D as it approaches new zealand winds at cape reinga gusting up to 1D0 k s an hour e,Informative
'575738837051174913',#thetwittazine usrId #suemee thesuemee those runnin vanuatu should b #ashamed the bolt report supporters group httpAddress,Informative
'575738863659925504',rt usrId our partners at island reach joining recovery efforts as #vanuatu deals with #cyclone httpAddress httpAddress httpAddress,Informative
'575738871205363712',while waiting for cyclone pam to pass lmao usrId 2 2 2 httpAddress,Informative
'575738883448664064',breaking cyclone devastates vanuatu financial times new york timescyclone devastates httpAddress httpAddress #khaatumo #khatumo,Informative
'575738910094962688',cyclone hit vanuatu appeals for help httpAddress,Informative
'575738966130954240',rt usrId #gippsnews mt usrId is here ! benefit concert for vanuatu cyclone httpAddress httpAddress httpAddress,Informative
'575738991795900416',food running critically short in vanuatu as entire islands described as httpAddress,Informative
'575739015372095488',rt usrId vanuatu in desperate appeal for aid after devastating httpAddress dozens feared httpAddress httpAddress httpAddress,Informative
'575739020245774336',#xfactornz i was worried about cyclone httpAddress but why ?,not informative
'575739020946227201',vanuatus cyclone plight could soon become the norm the struggle for climate justice for small island states httpAddress,Informative
'575739022514896896',rt usrId jim is a friend of httpAddress so the only people this crush really concerns is jim and pam and me .,not informative
'575739022988828673',pm shares sorrow and pain of those affected by cyclone in vanuatu httpAddress via usrId,Informative
'575739029775233025',rt usrId #cyclonepam the red cross has also launched an appeal to help those in httpAddress details at httpAddress http,Informative
'575739031738146818',rt usrId #cyclonepam was the strongest cyclone to hit #vanuatu in recorded httpAddress you can help httpAddress httpAddress,Informative
'575739034749685760',rt usrId usrId we ve also opened an urgent appeal for the children of #vanuatu httpAddress please share ! #tcpam #c,Informative
'575739038595833856',cyclone college brings hope to india s vulnerable coastal community httpAddress,Informative
'575739040797884416',dozens feared dead after super cyclone pam slams into vanuatu in pictures terrifying tropical cyclone httpAddress httpAddress,Informative
'575739042353934336',rt usrId as rescuers start to reach vanuatu s outer islands they find people having to drink saltwater to stay alive httpAddress,Informative
'575739096116523008',australian cyclone makes landfall losses strength sydney reuters a powerful tropical cyclone was losing httpAddress httpAddress,Informative
'575739114076569600',cyclone pam leaves trail of destruction in pacific s vanuatu httpAddress #international,Informative
'575739164894883841',as httpAddress backs fossil fuel divestment bill mckibben on vanuatu oxford vote california water crisis httpAddress,not informative
'575739170754166784',pam courson wife of jim morrison 1960s 70s via httpAddress httpAddress httpAddress,not informative
'575739189536382976',rt usrId usrId it s so shameful to disgrace sam s good name for a fake story ! none of this is true and hurtful to me as his gf . p,not informative
'575739205466238976',death toll rises in vanuatu cyclone to DD dead httpAddress,Informative
'575739263288877057',pam grier is vintage httpAddress,not informative
'575739322349043713',rt usrId weaker #cyclonepam heading to httpAddress north of north island expecting 70mph winds 100mm rain amp ; big httpAddress db httpAddress,Informative
'575739458424807425',tropical cyclone pam one of the strongest tropical cyclones in recorded history has caused devastation in vanuatu now headed for for nz,Informative
'575739460580548608',president cyclone devastation forcing vanuatu to start anew wellington new zealand ap vanuatu s httpAddress httpAddress,Informative
'575739466649731074',huge pacific cyclone devastates vanuatu at least eight dead httpAddress #emm,Informative
'575739473075531777',rt usrId zo will be on usrId abc radio at about 7 20am live from httpAddress live stream here if you re not in canberra httpAddress,Informative
'575739524644372481',rt usrId pacific island nation of vanuatu already suffering from climate change devastated by cyclone pam httpAddress,Informative
'575739573227024384',cyclone pam scale of destruction emerges as vanuatu picks up the pieces in pictures relief efforts httpAddress httpAddress,Informative
'575739674251128832',pam wiped out vanuatu development cyclone pam has wiped out development in vanuatu its president says httpAddress httpAddress,Informative
'575739728873459713',#news at least D dead after cyclone pam rips through vanuatu video dozens feared dead httpAddress httpAddress via usrId,Informative
'575739748641206272',cyclone over in the something islands killed D httpAddress httpAddress #scary,Informative
'575739769180811266',10 11am DD march vanuatu is there under #tcpam httpAddress gud luck lo evriwan wea i stap lo #vanuatu naoia ! httpAddress,Informative
'575739780564172800',rt usrId mt usrId mapaction vanuatu #cyclonepam map digest for httpAddress httpAddress #tcpam #reliefvu #hmrd v,Informative
'575739811283275776',cyclone pam vanuatu needs food httpAddress,Informative
'575739841511571457',rt usrId when pam calls iris sistaz lol #isibaya,not informative
'575739844850270208',unbelievable destruction reported after cyclone slams vanuatu httpAddress,Informative
'575739845487755264',rt usrId conservative estimate 70 of port vila hospital httpAddress can t chill medicine they re short of httpAddress #cyclonepam http,Informative
'575739867256086529',rt usrId we are sending a usrId medical team to set up a mobile clinic with outpatient care for victims of #cyclonep,Informative
'575739911552241664',video australia and nz fly aid to vanuatu httpAddress,Informative
'575739941076013057',in a country ripe for natural disasters this vanuatu man has survived them all usrId reports httpAddress via usrId,Informative
'575739949590282240',rt usrId D people confirmed dead in pacific island nation of vanuatu from destruction by tropical cyclone pam unicef httpAddress httpAddress,Informative
'575740031933022209',rt usrId great httpAddress by usrId and lawrence httpAddress #tcpam #vanuatu httpAddress,not informative
'575740048655585280',rt usrId vanuatu at the apex of #climate change disaster risk reduction and recovery #drr usrId httpAddress,Informative
'575740193631789057',seriously jim makes me weak in the knees with the way he talks about pam d,not informative
'575740280466464768',usrId pam 7 httpAddress by jayvelisse #phhoto,not informative
'575740333805453314',rt usrId photos from the island nation of vanuatu which was devastated by cyclone pam on march DD httpAddress httpAddress,Informative
'575740345117372416',rt usrId up to 60 00 children at risk after #cyclonepam hits #vanuatu amp ; region please donate to help unicef s rapid response htt,Informative
'575740409634254848',rt usrId usrId cyclone and done has a good ring to it .,not informative
'575740430731509761',first time we ve been back to iririki httpAddress yachts impaled into the jetty no httpAddress we can t return just httpAddress httpAddress,not informative
'575740494900125696',rt usrId cyclone pam response httpAddress,Informative
'575740496414294016',rt usrId aid workers scramble to help cyclone pam victims in vanuatu httpAddress httpAddress,Informative
'575740497391583232',rt usrId httpAddress vanuatu #vanuatu flights over vanuatu are expected to reveal cyclone devastation DD newfoundland c,Informative
'575740500252098560',rt usrId because she moves her body like a cyclone,not informative
'575740500424065024',rt usrId i have to be strong for httpAddress children here need food clothes httpAddress #cyclonepam httpAddress https,Informative
'575740501397143552',video cyclone pam my hotel is shaking httpAddress,Informative
'575740502353428480',rt usrId some 54k #childrenin #vanuatuare affected by cyclone httpAddress on the ground but needs your httpAddress go httpAddress,Informative
'575740503242625024',fears dozens killed by powerful cyclone pam via httpAddress httpAddress,Informative
'575740504421220352',aid heads for vanuatu after devastating pacific cyclone the first shipments of aid headed for vanuatu on sunday as authorities httpAddress,Informative
'575740504484130816',cyclone pam australia sends more personnel to vanuatu what about helping out with #climatechange as well ? #auspol httpAddress,Informative
'575740504760975360',vanuatu blames global warming as cyclone causes nations worst climate disaster in recent memory democracy now ! httpAddress,Informative
'575740507524984833',devastated vanuatu starts to get aid the first planeloads of international aid arrive on the pacific httpAddress httpAddress,Informative
'575740508011548672',one report cyclone pam leaves most of #vanuatu population httpAddress abc httpAddress #auspol australia sends httpAddress,Informative
'575740508049309696',cyclone pam roared squealed hissed as it hit httpAddress,Informative
'575740508695195648',#nrltigersdragons #news two more planes headed to cyclone zone sky news australia httpAddress,Informative
'575740510901420032',rsmc jma tropical cyclone advisory for analysis and forecast 2015 03 16t09 00 00z httpAddress,Informative
'575740513795473408',rt usrId people of #vanuatu are going to need a lot of help to rebuild their homes and their lives #cyclonepam httpAddress,Informative
'575740513799704576',just in bishop announces 5 million aid package for cyclone hit vanuatu httpAddress #news,Informative
'575740514114252800',rt usrId lmaoo dxski httpAddress call your boyfriends noww ! know your httpAddress pam pam pam another DD years don come,not informative
'575740514894413824',race to aid vanuatu cyclone victims httpAddress,Informative
'575740515196391425',cyclone pam like a bomb the fury of tropical cyclone pam one of the most powerful storms to make httpAddress httpAddress,Informative
'575740516022669313',#indonesia #bahrain cyclone pam leaves death and destruction on its path in the pacific httpAddress #brazil #argentina,Informative
'575740519776567297',rt usrId cyclone pam vanuatu hit by death and widespread devastation rolling coverage httpAddress,Informative
'575740520758038529',rt usrId pray for the people of vanuatu as #cyclonepam at category 5 which is the strongest moves towards vanuatu with winds,Informative
'575740521349435393',rt usrId cat D #cyclonepam is one of the strongest ever storms recorded in s hemisphere image vanuatu meteorological services httpAddress,Informative
'575740523299778560',stories of despair and destruction from cyclone pam survivors cyclone pam has caused widespread devastation .. httpAddress,Informative
'575740523920535553',around 82 00 children in vanuatu in need of humanitarian assistance following cyclone pam aid agency says usrId httpAddress,Informative
'575740525501771776',rt usrId nice avo salad tonight looked like a cyclone ! p httpAddress,Informative
'575740525602455552',rt usrId hanging with #vanuatu locals in httpAddress and now they need our httpAddress #cyclonepam usrId httpAddress httpAddress,Informative
'575740526961393664',rt usrId team landed in httpAddress access to devastated islands of #vanuatu is httpAddress #cyclonepam caused major httpAddress httpAddress,Informative
'575740527913537536',next relief for loved ones after contact is made from #vanuatu #7newsq continues httpAddress,Informative
