"item_id","item","label"
"503642998832242689","RT @bgittleson: This photo is very California. #napa #earthquake http://t.co/ZChvmbR369","Informative"
"503643131624292352","Photos show earthquake devastation in Napa wine country http://t.co/cGCobSLUn5","not informative"
"503643013852463104","RT @dekebridges: 6.0 magnitude earthquake hits northern California.
http://t.co/f8JOGb8rbY
Skaters finding upside to quake damage.
http://t…","Informative"
"503643154797854720","RT @GavinNewsom: Wow! Just some of the the damage the #NapaQuake had on the city &amp; its historic areas http://t.co/wBXVst6VuC","Informative"
"503643081066184704","Okay, if you live in Napa Valley California, why let a little 6.0 magnitude earthquake ruin your day? http://t.co/azwgbgVm8R","not informative"
"503642985167609856","Typical. I go to San Francisco and there's an earthquake. Happened at 3.30am, woke us up. No damage around here anyway","not informative"
"503643126683009025","Outstanding images of Bay Area #earthquake damage by @karlmondon and @garyjreyes for @viewfinderbang http://t.co/glKd64JcuT","not informative"
"503642995879849985","RT @vickydnguyen: Meadowbrook Lane in Napa-- skaters finding upside to quake damage. Photo from #nbcbayarea photog Jeremy Carroll http://t.…","Informative"
"503643009817128960","RT @Frannydink: RT @McMurtrieSF: Quake causes ""big, fat mess"" at Napa's Copperfield’s Books
http://t.co/vIaxplQaW5 http://t.co/8iGAZ4fboI","not informative"
"503643126141947904","RT @Chabad: Chabad center in Napa Valley damaged by #earthquake, but rabbi quickly attends to his community. http://t.co/x31LFXqUoZ","Informative"
"503643137663725568","RT @MrDavidAngelo: Big earthquake in Napa this morning. Locals described it as ""vibrant and intense, but not overly flamboyant with a clean…","Informative"
"503643045867188224","RT @laura_nelson: Oh, California - this, via @vickydnguyen: Skaters find upside to #napaquake. Photo from #nbcbayarea's Jeremy Carroll http…","not informative"
"503643039764860932","HOT HT to explore  #ilovejackjbecause #THISISHOWWEDOVMAS #llamasup #napaquake pwrd by http://t.co/c950b2nsbd","not informative"
"503643063529398272","Watching RAW VIDEO: Skateboarders Ride Over Buckled Napa Streets http://t.co/GPI5P2x5Wz","Informative"
"503643028591218688","RT @nbcbayarea: #BREAKING All Napa Valley Unified School District schools will be closed tomorrow. http://t.co/ppkRaYb6Xs #napaquake","Informative"
"503643019653181440","RT @madirosenewman: Don't worry guys. People in Napa only care about the earthquake cause all their wine bottles broke. #sfearthquake","not informative"
"503642992541171712","RT @TheRyanParker: MT @vickydnguyen
Meadowbrook Lane in Napa-- skaters finding upside to #earthquake damage. Photo from Jeremy Carroll http…","Informative"
"503642976422096896","RT @earthquakesSF: A 6.1 magnitude earthquake occurred 3.73mi WSW of American Canyon, California. Details: http://t.co/TdbXdyM5U9 Map: http…","Informative"
"503643105338216448","RT @alawine: Sharing Twitter pictures from last night #napaearthquake...(via @nelson @alawine @vinography) http://t.co/kzoMOcxqOY RT @curre…","Informative"
"503643033016233985","So sad. RT @nbcchicago: Napa Valley winery loses hundreds of bottles following Sunday's #earthquake (cont) http://t.co/LKx3PnCZ7f","Informative"
"503643056567255040","RT @weknowwhatsbest: After today's 6.0 earthquake in San Francisco, Nancy Pelosi has commissioned a team of structural engineers to evaluat…","Informative"
"503643104709066752","Earthquake Strikes Napa Valley; Wineries Assess Damage (Wine Spectator): Dozens injured, buildings damaged and... http://t.co/xsS8xrPmWz","Informative"
"503643004759195650","RT @RedCrossCRC: 2 shelters open for #napaquake: Crosswalk Cmnty Church, 2590 1st St, #NAPA &amp; Florence Douglas Cntr, 333 Amador St, #VALLEJ…","not informative"
"503643130923466753","RT @PGE4Me: Stay away from downed power lines - immediately call 911 and PG&amp;E to report at 1-800-PGE-5000. #napaquake #southnapaquake","Informative"
"503643062715703296","RT @bgittleson: This photo is very California. #napa #earthquake http://t.co/ZChvmbR369","Informative"
"503643040171700225","RT @UTsandiego: What 6.0 #earthquake did to #Napa Many injuries, no known deaths. http://t.co/w61mvthCMV http://t.co/qdC3spGORG","Informative"
"503642977588494337","RT @KQEDnews: UC Berkeley's early warning system gave residents 10 seconds to prepare for the #napaquake. http://t.co/vRFhAtVOZB","not informative"
"503643044827394048","“@SteveKuzj: Wineries all across #napavalley looking like this today. #napaquake http://t.co/hfmmjeDccK” una verdadera tragedia @lolacast28","Informative"
"503643050128592896","I guess I’ll get to experience the quake area first hand next week. Hope all friends in the California area are ok. #napaquake","not informative"
"503643001722118144","RT @VisitVineyards: This looks like quite a good summary of #Napa #earthquake damage to wineries &amp; other biz - could have been lots worse h…","Informative"
"503643063450083328","RT @SJVGrapes: Wow! It'll be a real puzzle organizing that room. RT @matthiassonwine: Will be barrel pickup sticks #napaearthquake http://t…","not informative"
"503643036996227073","RT @latimes: Wineries and other businesses in Northern California's wine country assess damage after today's earthquake http://t.co/F8CZDfo…","Informative"
"503643062913212416","California winemakers cleaning up after quake - http://t.co/sSXEnGlF5d","not informative"
"503643144148099072","RT @nbcbayarea: #BREAKING All Napa Valley Unified School District schools will be closed tomorrow. http://t.co/ppkRaYb6Xs #napaquake","Informative"
"503643112363671552","RT @nelson3748: “...earthquake in Napa...described as ""vibrant and intense, but not overly flamboyant with a clean, earthy finish.""” @JackH…","Informative"
"503643033909202947","RT @myfoxla: Some injuries, damage, and power outages reported in 6.0 #earthquake centered 6 miles SSW of Napa. http://t.co/upYet3NeNL","Informative"
"503643113793933312","RT @MrDavidAngelo: Big earthquake in Napa this morning. Locals described it as ""vibrant and intense, but not overly flamboyant with a clean…","not informative"
"503643033905410048","RT @passantino: Napa streets turned skate park after 6.0 quake, via @vickydnguyen http://t.co/jDlJGGV7Fa","Informative"
"503643149374205952","Strong Magnitude 6 Earthquake Rocks San Francisco Bay Area « CBS San Francisco http://t.co/6Ce0dolJFN @CBSLA @KNX1070","Informative"
"503643056629768192","RT @nbcbayarea: #NapaQuake Reaction: Tweets from people near the epicenter of this morning's earthquake. http://t.co/FyHOHpUbI4 http://t.co…","Informative"
"503643027076694016","Wall-2-Wall live coverage on Napa earthquake on all but 2 stations. Truly worrisome are the jolted gas lines—undetected cracks c/b anywhere.","Informative"
"503643011990183936","6.0 magnitude quake Shake California-Napa ?

 http://t.co/oQFOgpI1Zz","Informative"
"503643117308764160","RT @SFGate: #Napaquake update: More than 100 people injured, 6 of whom are in critical condition. http://t.co/24Db832o4U http://t.co/qo73jW…","Informative"
