item_id,item,label
503642998832242689,rt usrId this photo is very httpAddress #napa #earthquake httpAddress,Informative
503643131624292352,photos show earthquake devastation in napa wine country httpAddress,not informative
503643013852463104,rt usrId 6.0 magnitude earthquake hits northern httpAddress finding upside to quake httpAddress,Informative
503643154797854720,rt usrId wow ! just some of the the damage the #napaquake had on the city amp ; its historic areas httpAddress,Informative
503643081066184704,okay if you live in napa valley california why let a little 6.0 magnitude earthquake ruin your day ? httpAddress,not informative
503642985167609856,httpAddress i go to san francisco and there s an httpAddress happened at httpAddress woke us up . no damage around here anyway,not informative
503643126683009025,outstanding images of bay area #earthquake damage by usrId and usrId for usrId httpAddress,not informative
503642995879849985,rt usrId meadowbrook lane in napa skaters finding upside to quake httpAddress photo from #nbcbayarea photog jeremy carroll httpAddress,Informative
503643009817128960,rt usrId rt usrId quake causes big fat mess at napa s copperfields httpAddress httpAddress,not informative
503643126141947904,rt usrId chabad center in napa valley damaged by #earthquake but rabbi quickly attends to his httpAddress httpAddress,Informative
503643137663725568,rt usrId big earthquake in napa this httpAddress locals described it as vibrant and intense but not overly flamboyant with a clean,Informative
503643045867188224,rt usrId oh california this via usrId skaters find upside to httpAddress photo from #nbcbayarea s jeremy carroll http,not informative
503643039764860932,hot ht to explore #ilovejackjbecause #thisishowwedovmas #llamasup #napaquake pwrd by httpAddress,not informative
503643063529398272,watching raw video skateboarders ride over buckled napa streets httpAddress,Informative
503643028591218688,rt usrId #breaking all napa valley unified school district schools will be closed httpAddress httpAddress #napaquake,Informative
503643019653181440,rt usrId don t worry httpAddress people in napa only care about the earthquake cause all their wine bottles httpAddress #sfearthquake,not informative
503642992541171712,rt usrId mt usrId lane in napa skaters finding upside to #earthquake httpAddress photo from jeremy carroll http,Informative
503642976422096896,rt usrId a 6.1 magnitude earthquake occurred httpAddress wsw of american canyon httpAddress details httpAddress map http,Informative
503643105338216448,rt usrId sharing twitter pictures from last night httpAddress usrId usrId usrId httpAddress rt usrId,Informative
503643033016233985,so httpAddress rt usrId napa valley winery loses hundreds of bottles following sunday s #earthquake cont httpAddress,Informative
503643056567255040,rt usrId after today s 6.0 earthquake in san francisco nancy pelosi has commissioned a team of structural engineers to evaluat,Informative
503643104709066752,earthquake strikes napa valley ; wineries assess damage wine spectator dozens injured buildings damaged httpAddress httpAddress,Informative
503643004759195650,rt usrId D shelters open for #napaquake crosswalk cmnty church D590 1st st #napa amp ; florence douglas cntr DD amador st #vallej,not informative
503643130923466753,rt usrId stay away from downed power lines immediately call DD and pg amp ; e to report at httpAddress #napaquake #southnapaquake,Informative
503643062715703296,rt usrId this photo is very httpAddress #napa #earthquake httpAddress,Informative
503643040171700225,rt usrId what 6.0 #earthquake did to #napa many injuries no known httpAddress httpAddress httpAddress,Informative
503642977588494337,rt usrId uc berkeley s early warning system gave residents DD seconds to prepare for the httpAddress httpAddress,not informative
503643044827394048,usrId wineries all across #napavalley looking like this httpAddress #napaquake httpAddress una verdadera tragedia usrId,Informative
503643050128592896,i guess ill get to experience the quake area first hand next httpAddress hope all friends in the california area are ok . #napaquake,not informative
503643001722118144,rt usrId this looks like quite a good summary of #napa #earthquake damage to wineries amp ; other biz could have been lots worse h,Informative
503643063450083328,rt usrId wow ! it ll be a real puzzle organizing that httpAddress rt usrId will be barrel pickup sticks #napaearthquake httpAddress,not informative
503643036996227073,rt usrId wineries and other businesses in northern california s wine country assess damage after today s earthquake httpAddress,Informative
503643062913212416,california winemakers cleaning up after quake httpAddress,not informative
503643144148099072,rt usrId #breaking all napa valley unified school district schools will be closed httpAddress httpAddress #napaquake,Informative
503643112363671552,rt usrId httpAddress in httpAddress as vibrant and intense but not overly flamboyant with a clean earthy httpAddress usrId,Informative
503643033909202947,rt usrId some injuries damage and power outages reported in D . 0 #earthquake centered D miles ssw of httpAddress httpAddress,Informative
503643113793933312,rt usrId big earthquake in napa this httpAddress locals described it as vibrant and intense but not overly flamboyant with a clean,not informative
503643033905410048,rt usrId napa streets turned skate park after 6.0 quake via usrId httpAddress,Informative
503643149374205952,strong magnitude D earthquake rocks san francisco bay area cbs san francisco httpAddress usrId usrId,Informative
503643056629768192,rt usrId #napaquake reaction tweets from people near the epicenter of this morning s httpAddress httpAddress httpAddress,Informative
503643027076694016,wall D wall live coverage on napa earthquake on all but D httpAddress truly worrisome are the jolted gas linesundetected cracks httpAddress httpAddress,Informative
503643011990183936,6.0 magnitude quake shake california napa ? httpAddress,Informative
503643117308764160,rt usrId #napaquake update more than DD people injured D of whom are in critical httpAddress httpAddress httpAddress,Informative
503642976976113664,rt usrId we now have more than DD photos of #earthquake damage from napa httpAddress tons of coverage on usrId htt,Informative
503643105485004800,napa valley earthquake not too shaken just a little stirred in sonoma county i terrible pun i know but httpAddress httpAddress,not informative
503643128994086912,rt usrId california earthquake bay area hardest hit in DD years httpAddress httpAddress,Informative
503643096567926784,6.0 earthquake shakes northern california the usgs says its the largest earthquake to shake the bay area httpAddress httpAddress,Informative
503642984429395968,rt usrId the earthquake in northern california left the area devastated httpAddress,Informative
503643080005013505,napa official DD to DD buildings not inhabitable after quake limited access to many o from usrId httpAddress,Informative
503643128931565568,rt usrId tonight usrId ca #quake ; remembering #jamesfoley ; a journo freed in syria ; #pooh is httpAddress cbc r1 at D pm httpAddress D,Informative
503643109620588544,rt usrId napa area winery rt usrId earthquake at usrId httpAddress,not informative
503643136636506112,the latest from ap reporters on scene after california earthquake causes damage injuries httpAddress,Informative
503643042926977025,rt usrId httpAddress in httpAddress as vibrant and intense but not overly flamboyant with a clean earthy httpAddress usrId,not informative
503643138968133632,rt mt cal oes usrId usrId has deployed dive teams to bay area toll bridges for #napa quake #napaquake,Informative
503642988522647552,rt usrId photos powerful earthquake shakes northern california httpAddress httpAddress,not informative
503643033280462848,rt usrId no golf courses were harmed mt . usrId obama released this graphic on the #earthquake in napa via fema httpAddress,Informative
503643016653860864,rt usrId meadowbrook lane in napa skaters finding upside to quake httpAddress photo from #nbcbayarea photog jeremy carroll httpAddress,not informative
503643018906570752,rt usrId the essence of being human skaters explore upside to napa quake httpAddress cc usrId httpAddress,Informative
503643095204782081,chargers 49ers game still on after 6.1 earthquake in bay area by cindy boren august DD at 1 17 pm follow httpAddress httpAddress,Informative
503642993677443072,rt usrId this photo is very httpAddress #napa #earthquake httpAddress,Informative
503643003508883458,rt usrId san francisco bay area 6.0 earthquake injures at least 70 ignites fires knocks out httpAddress httpAddress httpAddress,not informative
503642998664884225,httpAddress earthquake hits northern california httpAddress #losangeles,Informative
503643073335685120,rt usrId D of DD water main breaks in napa after the httpAddress it s the one that cause water pressure problems fighting the fire http,Informative
503643054327484418,rt usrId winemakers are surveying the damage following the httpAddress httpAddress httpAddress,not informative
503643127253450753,DD injured in 6.0 napa valley earthquake ; some buildings uninhabitable httpAddress via usrId,Informative
503643044642848768,rt usrId choose the reasonable reaction state of emergency declared httpAddress california httpAddress death of unarmed t,Informative
503643146115223552,rt usrId #napaearthquake is causing some traffic concerns httpAddress,Informative
503643045305516033,rt usrId a 6.0 earthquake just hit napa county and heres what its looking like httpAddress httpAddress,Informative
503643093589958657,httpAddress 6.0 earthquake causes injuries and freaks everyone httpAddress what will happen to california when the inevitable 9.0 strikes ?,Informative
503643000913006593,rt usrId napa county officials are using a drone to assess damage at the top of httpAddress #quake #southnapaquake,Informative
503642982189252608,breaking news ! the republicans have blamed obama for the earthquake in california !! tgj #cnn #foxnews #msnbc #snl #comedycentral #mtv #tmz,Informative
503643124787609600,rt usrId meadowbrook lane in napa skaters finding upside to quake httpAddress photo from #nbcbayarea photog jeremy carroll httpAddress,not informative
503643029559734272,great partners and great #napaquake response info usrId usrId usrId usrId usrId usrId usrId,Informative
503642985431830528,rt usrId hoping that everyone involved in the napa #earthquake is httpAddress thank you to all the incredible rescue httpAddress,Informative
503643098891575296,dozens injured D critically after strong earthquake in california httpAddress,Informative
503642996584513536,rt usrId video earthquake triggers fires at napa valley mobile home park while disrupting water supply httpAddress,not informative
503643081871089664,rt usrId people who aren t from california california aka earthquake land what if i die ? californians whoa wtf an earthqua,Informative
503643001185636352,#earthquake #response #napa residents should view the how to turn off utilities video at httpAddress #napaquake,Informative
503643127132221440,california winemakers cleaning up after quake from usrId httpAddress,Informative
503643077836546048,the latest on damaging earthquake in california from usrId httpAddress,Informative
503643229460262912,big earthquake in httpAddress described it as vibrant and intense but not overly flamboyant with a clean earthy httpAddress,Informative
503643227074080768,sad day for so many reasons #earthquake #napa stole this one from silver oaks httpAddress,not informative
503643196945997825,rt usrId no golf courses were harmed mt . usrId obama released this graphic on the #earthquake in napa via fema httpAddress,Informative
503643236267982850,rt usrId strong 6.1 earthquake rocks san francisco bay area injures 87 significant damage in napa httpAddress,not informative
