item_id,item,label
376843697943769000,#longmont #co the tiny tim center is now httpaddress book keeper httpaddress #tweetmyjobs,not informative
378011169883038000,rt usrid crazy flooding in boulder colorado httpaddress via usrid,not informative
378020179214492000,here s the #boulderflood video that s circulating httpaddress right in my old neighborhood west of cu ! #staysafe httpaddress,not informative
378026101588496000,rt usrid video severe flooding hits near httpaddress of colorado at boulder httpaddress,not informative
378029784204206000,crazy flooding in boulder colorado httpaddress,not informative
378038458024866000,thoughts and prayers out to those in boulder who may not get to amante for morning httpaddress #boulderflood,not informative
378042534863192000,httpaddress usrid usrid they are saying south boulder creek near eldo sprgs is past #100yearflood levels #boulderflood,not informative
378045630251147000,rt usrid video flooding at 28th st underpass in #boulder tonight httpaddress #boulderflood,not informative
378047710659502000,rt usrid with the #boulderflood remember to check and trust your sources before you httpaddress don t go around spreading false informatio,not informative
378048146850329000,pray for boulder colorado #boulderflood,not informative
378049119924675000,rt usrid and i thought living on boulder creek would be a good httpaddress #flashflood #boulderflood #bouldercreek httpaddress,not informative
378050260792119000,evacuation order for the town of #jamestown httpaddress torrential #flooding rain in the front range urban corridor n of i dd #cowx #boulderflood,not informative
378050491474657000,rt usrid evacuation bags are ready by the front httpaddress now hoping for some httpaddress be safe amp ; well #boulder httpaddress #boulderflood #cowx,not informative
378051825254953000,i get dd reall followers ! httpaddress #bestrapper #boulderflood #putinsfavoriteflicks #remember911 #in httpaddress,not informative
378053515563659000,httpaddress #bestrapper #boulderflood #putinsfavoriteflicks #remember911 #ini httpaddress,not informative
378054979380335000,the weather is crazy over httpaddress have rivers now amp ; some students are evacuating the dorms while others went mud sliding xd #boulderflood,not informative
378055482704814000,damnit usrid take care of the spammers using #boulderflood,not informative
378056556413080000,rt usrid significant flooding at the justice center in #boulderflood #cowx,not informative
378059840569881000,holy httpaddress boulder creek water volume for the last httpaddress be httpaddress #boulder #boulderflood httpaddress httpaddress,not informative
378061807681696000,#boulder #colorado has like dd days of sunshine a httpaddress now the #boulderflood ? that just proves if we are gonna do it we do it big !,not informative
378066689885078000,links for information on #boulderflood from usrid usrid usrid usrid #cowx httpaddress,not informative
378067142844748000,#socy2044 will there be looting ? or an increase in crime this weekend ? #boulderflood,not informative
378069365855621000,rt usrid scanner highway dd going into lyons is underwater from the west at the diamond httpaddress #cowx #boulderflood,not informative
378069734916252000,rain again picking up in dwtn bldr #boulderflood,not informative
378071806902407000,httpaddress rtfollowmeifollowyou #boulderflood #bestrapper #remember911 #putinsfavoriteflicks #init httpaddress,not informative
378072872280789000,rt usrid video flooding at 28th st underpass in #boulder tonight httpaddress #boulderflood,not informative
378082263302300000,did you know ? via usrid #boulder is the #1 flash flood risk community in httpaddress #boulderflood httpaddress #cowx,not informative
378082875687465000,rt usrid httpaddress rtfollow meifollowyou #boulderflood #bestrapper #initialsofsomeonespecial #cowx #redeye http,not informative
378084154937586000,rt usrid usrid our new front yard pond #boulderflood httpaddress,not informative
378086243705184000,rt usrid rt usrid can t believe a few hours ago it was just a bit of heavy httpaddress escalated ridiculously quickly #boulderflood,not informative
378086805771268000,one dead as flash flooding hits parts of colorado httpaddress,not informative
378088110170452000,flooding in colorado kills d httpaddress,not informative
378088743527125000,httpaddress andrtifwantnewfollowers #boulderflood #bestrapper #cowx #initialsofsomeonespecial httpaddress,not informative
378095349547553000,t storms crossing i dd toward httpaddress strong storm sitting over #brighton tracking ne . #9wx forecast on #9news now httpaddress,not informative
378097819992592000,#breaking usrid say httpaddress dd dd #cuboulder family housing residents httpaddress #boulderflood #9newsmornings,not informative
378101922013532000,breaking news us dd is now open from sheridan to mccaslin #9wx #cotraf #boulderflood,not informative
378101930414711000,rt usrid another great pic of #boulderflood from httpaddress #boulder usrid brandash s photo httpaddress,not informative
378102945448853000,rt usrid the original of the photo that is floating everywhere for #boulderflood usrid photo httpaddress,not informative
378111510205465000,rt usrid extremely dangerous and life threatening situation in boulder colorado area as flash flooding continues usrid ht,not informative
378113326342885000,get new f o l l o wers ? visit httpaddress #boulderflood #bestrapper #initialsofsomeonespecial #cowx #musi httpaddress,not informative
378115570287542000,#developing d dead as flash flooding hits parts of colorado httpaddress via usrid,not informative
378118359511888000,everyone stay safe in the #boulderflood ! especially those having to be httpaddress it s getting httpaddress,not informative
378120104312992000,httpaddress #boulderflood #bestrapper #initialsofsomeonespecial #cowx #music httpaddress,not informative
378122012742668000,one person #killed and homes #destroyed after flash floods wreak havoc in #colorado sep dd d dd am et httpaddress,not informative
378122033697403000,rt usrid life threatening flash #flooding in colorado foothills including colorado springs fort collins and boulder areas http,not informative
378122948064068000,rt usrid 2nd death related to colorado flooding reported usrid for more httpaddress,not informative
378127477928784000,student captures flash flooding on university of colorado campus httpaddress,not informative
378128681677234000,#colorado flooding kills httpaddress usrid httpaddress,not informative
378129197576643000,rt amp ; visit d gain httpaddress #boulderflood #bestrapper #initialsofsomeonespecial #cowx #musi httpaddress,not informative
378130011292979000,rt usrid stress oem warns do not leave your home if you do not have to . do not drive in httpaddress httpaddress #boulderflood,not informative
378130057396371000,i get dd reall followers ! httpaddress #boulderflood #bestrapper #initialsofsomeonespecial #cowx #music httpaddress,not informative
378133446410785000,just in a second person has died in colorado s flash flooding officials httpaddress httpaddress #cowx,not informative
378133551272563000,rt usrid more on deadly colorado flooding reported by usrid with httpaddress,not informative
378133932937445000,httpaddress #boulderflood #bestrapper #initialsofsomeonespecial #cowx #music httpaddress,not informative
378134704710767000,rt usrid update flash flooding in boulder county colorado has left two people httpaddress httpaddress,not informative
378135338050261000,i get dd reall followers ! httpaddress #boulderflood #bestrapper #initialsofsomeonespecial #cowx #music httpaddress,not informative
378139188421358000,httpaddress rtfornewfollowers #boulderflood #bestrapper #initialsofsomeonespecial #cowx #musi httpaddress,not informative
378139846935458000,usrid this is dd and dillon httpaddress cars submerged after road gives way httpaddress httpaddress awful !,not informative
378140266366267000,usrid d dead as flash flooding hits parts of httpaddress flash flooding in colorado s boulder county has left one httpaddress usrid,not informative
