item_id,item,label
378044472661000000,who s tryin to tube on boulder creek right now ? #boulderflood,not informative
378046271996441000,rt usrid scanner #boulderflood reports lee road rock slide road is closed,not informative
378053637177475000,anyone wanna go skinny dipping ? #boulderflood,not informative
378056971686932000,rt usrid #westminster and #thornton swift water dive teams en route to #boulder in case they are httpaddress #boulderflood #cowx,not informative
378057261081715000,#russelladler #news jamestown colorado is under mandatory evacuation order due to flash flooding usrid httpaddress,not informative
378058611638796000,rt usrid rt usrid sleeping above ground httpaddress stay safe #boulderflood #boulder httpaddress #cowx,not informative
378075674088448000,flash floods wash away homes kill at least one near boulder colorado httpaddress news httpaddress via usrid,not informative
378109257842827000,rt usrid rivalries aside keep those affected by the #boulderflood in your thoughts and httpaddress hopefully no more lives are taken,not informative
378112919499579000,one person killed and homes destroyed after flash floods wreak havoc in colorado httpaddress,not informative
378149984551449000,rt usrid #coflood hashtags #boulderflood #waldoflood #ccf #cowx any others ? when in doubt turn around seek higher ground d,not informative
378175691449070000,rt usrid #boulderflood road closures httpaddress many north #boulder roads just about every httpaddress stay httpaddress,not informative
378178661020496000,rt usrid forget biking to work today in #boulder we could have httpaddress #boulderflood httpaddress,not informative
378184491111842000,rt usrid if your bored check out the trend #boulderflood some crazy httpaddress,not informative
378190577046524000,what ? boulder be safe everyone ! rt usrid update d dead hundreds evacuated in colorado flooding httpaddress,not informative
378213377262109000,usrid ordering mandatory evacuations in the southmoor park httpaddress #coflood,not informative
378222998995882000,rt usrid monitor #boulderflood #cowx on #esri disaster response program public information map httpaddress,not informative
379103282745991000,at least d killd dd unaccountd d as floodwatr inundates colorado httpaddress #flooding #neighbors #park #thinking,not informative
379111721665057000,colorado floods more than dd still unaccounted for as devastating rain looms cnn international httpaddress httpaddress,not informative
379136388379058000,rt usrid at least dd unaccounted for in colorado floods as obama signs disaster declaration httpaddress,not informative
379189865776419000,rt usrid watching usrid video drone offers unique view of colorado flooding httpaddress via usrid,not informative
379231162876854000,#colorado braces for more heavy rain devastating floods httpaddress,not informative
379273391150080000,rt usrid hundreds are still missing in colorado with more rain and flooding expected to hamper rescue efforts today httpaddress,not informative
379287207187460000,rt usrid please pardon the inconvenience of my httpaddress i tried to hold it in but every hundred years or httpaddress #boulderflood,not informative
379288075387421000,rt usrid the best way to help #coflood survivors first visit httpaddress . this is how you make the greatest httpaddress,not informative
379289077826073000,i have no food and no way to get food #boulderflood,not informative
379302440899600000,rt usrid flooding at red rocks amphitheatre about dd rows under water ! photo via httpaddress #cowx #coflood httpaddress,not informative
379302940000793000,rt usrid my prayers go out to all the flooding victims in colorado right httpaddress,not informative
379314377876189000,rt usrid breaking experts have determined colorado flooding was caused by tears of badger fans fema is sending trucks loaded httpaddress,not informative
379316609258496000,rt usrid we just spoke with red httpaddress their seats are not underwater just httpaddress lumineers show tonight is still on as httpaddress #coflood,not informative
379339841508356000,floods transform colorado s gore tex vortex,not informative
379378227774755000,rt usrid over d dd missing in colorado flooding a large area of colorado primarily boulder county has experienced httpaddress httpaddress,not informative
379387736253162000,rt usrid httpaddress obama has declared a state of emergency in colorado after record httpaddress to find out how you can help go to htt,not informative
379387966948258000,. rt usrid #breaking raw sewage flowing from pipe north of space sciences east cu campus near httpaddress avoid httpaddress #coflood,not informative
379388977775514000,httpaddress #boulderflood #hope #love httpaddress,not informative
379391708271620000,rt usrid d people confirmed dead in colorado flooding and d 2d4 people unaccounted for statewide official says usrid http,not informative
379393608278737000,usrid usrid i live in boulder httpaddress this is trivia compared to what we re dealing with httpaddress #boulderflood,not informative
379412612653388000,flooding at cactus jacks in #evergreen #coflood #cowx photo by usrid httpaddress,not informative
379416379150987000,new look at the st vrain in #longmont via usrid look how high river is flowing at httpaddress httpaddress,not informative
379436071387685000,#colorado floods leave #hundreds unaccounted for httpaddress,not informative
379465200832754000,rt usrid your support is desperately httpaddress please help httpaddress #coflood #boulderflood #longmnotflood httpaddress,not informative
379552161333776000,usrid to whom it may concern kenn will be absent today due httpaddress major flooding in httpaddress sincerely the httpaddress,not informative
379565335676203000,that flooding in colorado lt ; lt ; lt ; lt ; #prayforcolorado and wherever that specific spot is httpaddress the httpaddress,not informative
379602534945808000,rt usrid our team made it over weekend d #coloradoflood to help in the usrid shelters there to meet needs of #kids keep httpaddress,not informative
379677000598028000,my favorite httpaddress spot along the #boulder creek .. is now a raging river #coflood central httpaddress,not informative
379698634838655000,d dd homes damaged in #coflood dd businesses destroyed about dd with httpaddress less than dd people still httpaddress httpaddress,not informative
379703361798300000,rt usrid rt usrid food and volunteers needed at the weld food httpaddress #coflood,not informative
379739172765831000,colorado floods how to help many organizations are already trying to find ways to help thousands of httpaddress httpaddress,not informative
379794378216071000,rt usrid video flooded #fracking sites in colorado httpaddress #coflood,not informative
379803890906305000,rt usrid whoa wile e . coyote httpaddress the zephyr tracks near moffat tunnel suspended in httpaddress #coflood httpaddress usrid,not informative
