"item_id","item","label",
265785591206134000,"Con todo mi #guatemala","not informative",2549
265800397120213000,"RT @Telediariogt: DEPORTES: arrancó segundo tiempo de juego en Mundial Futsal #Tailandia2012: #Rusia 6-0 #Guatemala. @MLorenzo_td","not informative",2548
265818847867707000,"#Guatemala : La plus ancienne tombe #Maya a été découverte http://t.co/LhOS8uD8","not informative",
265845007729193000,"La agrupación guatemalteca el @Tambordlatribu anunció presentaciones en Estados Unidos y México #Guatemala","not informative",
265889370882580000,"Se pudrió todo @cobreloa @hmarambi Palos es baja contra #sanmarcos y @Juegoypasion dice que Contreras se lesionó y jugará Acevedo. #cobreloa","not informative",
265911617491960000,"RT @FUNVISIS: #Sismo:2012/11/06 14:24 (HLV), Mag. 3.1 Mw, a 28 Km al suroeste de San Cristobal (7.536 N,-72.322 W), prof. 16.6 Km","Informative",
265912993198514000,"@FUNVISIS: #Sismo:2012/11/06 14:24 (HLV), Mag. 3.1 Mw, a 28 Km al suroeste de San Cristobal (7.536 N,-72.322 W), prof. 16.6 Km","Informative",
265920492626653000,"Latino América en marcas, #Diseño de la marca país #Guatemala http://t.co/JmigZy2T #martesdemarcas","not informative",
266005733445870000,"RT @NANOMCDGREAT: Estamos #2 en lo más solicitado en #Guatemala con “EnMiSeFijo” de @NANOMCDGREAT por #RadioManati1015Fm pídelo vía msj  ...","not informative",
266048855085306000,"RT @CNNEE: El presidente de #Guatemala @OttoPerezMolina es, hasta ahora, el único mandatario latinoamericano que felicitó a #Obama en Tw ...","not informative",
266140274156241000,"Posibles fechas de #MägodeOz: 8 de Febrero en #Guatemala. 14 de Marzo en #Chile (mismo día que Turisas...). 23 de Marzo en #Argentina.","not informative",
266217826849784000,"buenos dias con ese #temblorgt","not informative",
266219231916478000,"RT @tcsnoticias: Sismo fue sensible en la capital de Guatemala","Informative",
266219357745582000,"Fuerte sismo sacude Guatemala, México y buena parte de Centroamèrica.","Informative",
266219601002648000,"Nada mejor que empezar el dia con un #temblor #sismo ...","not informative",
266219655549575000,"Ooh @NewEarthquake: 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km). http://t.co/fosO1UT6","Informative",
266219773006844000,"RT @NewEarthquake: 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km). http://t.co/brZ8J9F9","Informative",
266219814945714000,"Preliminar 6.35  del #sismo que se sintio hace unos momentos en el DF m","Informative",
266219869471650000,"RT @prensa_libre: RT @NewEarthquake: 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km). ht ...","Informative",
266220087562879000,"RT @axl90: La Tierra está surfeando #TemblorGt","not informative",
266220104319128000,"RT @amigosderafa: #sismo #Xalapa #Veracruz con precaución y tranquilidad por favor","not informative",
266220150485836000,"@NewEarthquake: 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter. http://t.co/YSzDJzN8 QUE GRUESO!","Informative",
266220251119768000,"@AugustoMejiaL: “@ReporteNi: #Temblor M 7.5, 49km SW of Champerico, Guatemala http://t.co/NROIHfx1” // Se sintio feo loco /:","Informative",
266220305670869000,"#sismo en paseo de la reforma se sintio fuerte! Bolsa Mex y torre 265, evacuando","not informative",
