item_id,item,label
265785591206134000,con todo mi #guatemala,not informative
265800397120213000,rt usrId deportes arranc segundo tiempo de juego en mundial futsal #tailandia2012 #rusia 6 0 httpAddress usrId,not informative
265818847867707000,#guatemala la plus ancienne tombe #maya a t dcouverte httpAddress,not informative
265845007729193000,la agrupacin guatemalteca el usrId anunci presentaciones en estados unidos y mxico #guatemala,not informative
265889370882580000,se pudri todo usrId usrId palos es baja contra #sanmarcos y usrId dice que contreras se lesion y jugar httpAddress #cobreloa,not informative
265911617491960000,rt usrId httpAddress 14 24 hlv httpAddress 3.1 mw a DD km al suroeste de san cristobal httpAddress httpAddress w httpAddress httpAddress km,Informative
265912993198514000,usrId httpAddress 14 24 hlv httpAddress 3.1 mw a DD km al suroeste de san cristobal httpAddress httpAddress w httpAddress httpAddress km,Informative
265920492626653000,latino amrica en marcas #diseo de la marca pas #guatemala httpAddress #martesdemarcas,not informative
266005733445870000,rt usrId estamos #2 en lo ms solicitado en #guatemala con enmisefijo de usrId por #radiomanati1015fm pdelo va msj ..,not informative
266048855085306000,rt usrId el presidente de #guatemala usrId es hasta ahora el nico mandatario latinoamericano que felicit a #obama en tw ..,not informative
266140274156241000,posibles fechas de #mgodeoz D de febrero en httpAddress DD de marzo en #chile mismo da que httpAddress DD de marzo en httpAddress,not informative
266217826849784000,buenos dias con ese #temblorgt,not informative
266219231916478000,rt usrId sismo fue sensible en la capital de guatemala,Informative
266219357745582000,fuerte sismo sacude guatemala mxico y buena parte de httpAddress,Informative
266219601002648000,nada mejor que empezar el dia con un #temblor #sismo ..,not informative
266219655549575000,ooh usrId D . 5 earthquake 49km sw of champerico httpAddress nov D 10 35 at epicenter 6m ago depth httpAddress httpAddress,Informative
266219773006844000,rt usrId D . 5 earthquake 49km sw of champerico httpAddress nov D 10 35 at epicenter 6m ago depth httpAddress httpAddress,Informative
266219814945714000,preliminar httpAddress del #sismo que se sintio hace unos momentos en el df m,Informative
266219869471650000,rt usrId rt usrId D . 5 earthquake 49km sw of champerico httpAddress nov D 10 35 at epicenter 6m ago depth httpAddress ht ..,Informative
266220087562879000,rt usrId la tierra est surfeando #temblorgt,not informative
266220104319128000,rt usrId #sismo #xalapa #veracruz con precaucin y tranquilidad por favor,not informative
266220150485836000,usrId D . 5 earthquake 49km sw of champerico httpAddress nov D 10 35 at httpAddress httpAddress que grueso !,Informative
266220251119768000,usrId usrId #temblor m httpAddress 49km sw of champerico guatemala httpAddress httpAddress se sintio feo loco httpAddress,Informative
266220305670869000,#sismo en paseo de la reforma se sintio fuerte ! bolsa mex y torre 265 evacuando,not informative
